Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,
 ,0,64.000000,63.954357,63.817163,63.587641,63.264549,62.846266,62.330898,61.716408,61.000765,60.182097,59.258855,58.229967,57.094986,55.854228,54.508883,53.061108,51.514100,49.872136,48.140589,46.325913,44.435614,42.478177,40.462989,38.400231,36.300752,34.175936,32.037551,29.897595,27.768136,25.661154,23.588387,21.561187,19.590383,17.686173,15.858029,14.114633,12.463853,10.912758,9.467696,8.134432,6.918395,5.825015,4.860178,4.030670,3.344228,2.808163,2.424936,2.184616,2.059824,2.011077,2.000028,1.999963,
 ,5,63.888754,63.997809,64.011220,63.926115,63.739369,63.447750,63.048059,62.537301,61.912839,61.172561,60.315025,59.339600,58.246578,57.037274,55.714097,54.280596,52.741476,51.102595,49.370927,47.554503,45.662331,43.704296,41.691031,39.633793,37.544306,35.434611,33.316906,31.203383,29.106073,27.036698,25.006531,23.026276,21.105964,19.254880,17.481508,15.793514,14.197759,12.700342,11.306676,10.021568,8.849302,7.793645,6.857718,6.043592,5.351481,4.778462,4.316927,3.953360,3.668283,3.437833,3.236576,3.040497,
 ,10,63.552626,63.804711,63.954051,63.996176,63.926680,63.741380,63.436486,63.008759,62.455668,61.775529,60.967619,60.032282,58.971001,57.786446,56.482498,55.064245,53.537954,51.911011,50.191850,48.389848,46.515213,44.578844,42.592192,40.567100,38.515645,36.449977,34.382162,32.324025,30.287016,28.282081,26.319559,24.409100,22.559608,20.779218,19.075299,17.454491,15.922761,14.485481,13.147506,11.913221,10.786520,9.770671,8.867975,8.079198,7.402739,6.833666,6.362856,5.976613,5.657031,5.383139,5.132528,4.883009,
 ,15,62.985356,63.360425,63.623725,63.769877,63.793906,63.691415,63.458732,63.093058,62.592586,61.956602,61.185566,60.281163,59.246328,58.085249,56.803341,55.407191,53.904489,52.303932,50.615106,48.848356,47.014646,45.125397,43.192336,41.227327,39.242215,37.248673,35.258059,33.281287,31.328727,29.410114,27.534495,25.710206,23.944867,22.245427,20.618220,19.069048,17.603279,16.225930,14.941722,13.755074,12.669981,11.689752,10.816544,10.050713,9.390028,8.828891,8.357788,7.963191,7.628027,7.332662,7.056171,6.777609,
 ,20,62.179416,62.651393,63.002050,63.225838,63.317944,63.274443,63.092415,62.770054,62.306747,61.703130,60.961116,60.083906,59.075957,57.942944,56.691685,55.330051,53.866852,52.311712,50.674921,48.967288,47.199979,45.384355,43.531810,41.653624,39.760810,37.863996,35.973311,34.098305,32.247890,30.430318,28.653181,26.923451,25.247543,23.631407,22.080632,20.600556,19.196364,17.873154,16.635934,15.489537,14.438388,13.486130,12.635067,11.885483,11.234897,10.677437,10.203467,9.799657,9.449506,9.134258,8.834011,8.528822,
 ,25,61.129920,61.669661,62.079469,62.354325,62.490223,62.484273,62.334787,62.041337,61.604788,61.027305,60.312337,59.464569,58.489863,57.395162,56.188385,54.878299,53.474380,51.986662,50.425575,48.801788,47.126048,45.409022,43.661160,41.892564,40.112883,38.331228,36.556118,34.795456,33.056536,31.346078,29.670301,28.035015,26.445729,24.907782,23.426458,22.007093,20.655142,19.376192,18.175882,17.059718,16.032747,15.099083,14.261301,13.519745,12.871854,12.311649,11.829511,11.412357,11.044208,10.707074,10.381971,10.049929,
 ,30,59.839346,60.417824,60.860049,61.162106,61.321278,61.336105,61.206419,60.933356,60.519341,59.968047,59.284335,58.474163,57.544484,56.503121,55.358628,54.120142,52.797222,51.399693,49.937484,48.420477,46.858361,45.260511,43.635880,41.992917,40.339519,38.683001,37.030116,35.387087,33.759683,32.153312,30.573142,29.024227,27.511640,26.040601,24.616580,23.245362,21.933063,20.686063,19.510848,18.413729,17.400442,16.475602,15.642082,14.900339,14.247821,13.678556,13.183055,12.748564,12.359677,11.999191,11.649070,11.291378,
 ,35,58.322416,58.913820,59.366019,59.676598,59.844418,59.869633,59.753679,59.499233,59.110156,58.591407,57.948943,57.189594,56.320929,55.351105,54.288716,53.142628,51.921826,50.635258,49.291700,47.899629,46.467122,45.001778,43.510671,42.000328,40.476747,38.945442,37.411511,35.879744,34.354736,32.841022,31.343216,29.866146,28.414975,26.995298,25.613204,24.275284,22.988572,21.760410,20.598210,19.509102,18.499472,17.574402,16.737035,15.987962,15.324701,14.741389,14.228780,13.774562,13.363998,12.980751,12.607811,12.228359,
 ,40,56.610538,57.194975,57.641321,57.948835,58.118033,58.150656,58.049606,57.818870,57.463419,56.989081,56.402417,55.710565,54.921093,54.041834,53.080737,52.045716,50.944509,49.784566,48.572943,47.316236,46.020533,44.691404,43.333923,41.952713,40.552027,39.135851,37.708023,36.272375,34.832864,33.393719,31.959567,30.535543,29.127376,27.741434,26.384731,25.064868,23.789909,22.568183,21.407980,20.317163,19.302673,18.369967,17.522420,16.760760,16.082635,15.482397,14.951164,14.477196,14.046535,13.643816,13.253134,12.858862,
 ,45,54.755092,55.320681,55.753582,56.054688,56.226021,56.270655,56.192617,55.996767,55.688667,55.274432,54.760580,54.153877,53.461181,52.689300,51.844856,50.934171,49.963176,48.937346,47.861663,46.740608,45.578195,44.378022,43.143354,41.877236,40.582611,39.262462,37.919949,36.558553,35.182204,33.795399,32.403294,31.011770,29.627465,28.257768,26.910757,25.595089,24.319825,23.094177,21.927176,20.827260,19.801784,18.856476,17.994886,17.217893,16.523342,15.905903,15.357192,14.866170,14.419779,14.003713,13.603241,13.203954,
