Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,
 ,0,64.000000,63.886701,63.498933,62.713281,61.381795,59.391753,56.712613,53.417523,49.676276,45.723179,41.807753,38.140544,34.850995,31.974620,29.476038,27.294762,25.387129,23.743138,22.375777,21.298039,20.508644,19.997441,19.762000,19.814445,20.164607,20.787550,21.600564,22.468862,23.236580,23.764992,23.962522,23.800464,23.314639,22.595306,21.767656,20.964930,20.297357,19.823642,19.535183,19.360676,19.189045,18.900014,18.391702,17.600135,16.510041,15.157722,13.626894,12.038632,10.537335,9.275106,8.395281,8.011176,
 ,5,63.632450,63.921513,63.938072,63.552676,62.608010,60.979076,58.622009,55.598121,52.069097,48.265991,44.439433,40.803490,37.490871,34.537905,31.907137,29.535211,27.379419,25.440155,23.753733,22.367120,21.314361,20.610036,20.258703,20.263022,20.613986,21.266214,22.119986,23.028406,23.827719,24.374716,24.576715,24.407623,23.909508,23.181541,22.358776,21.583607,20.974089,20.596186,20.448984,20.468486,20.547164,20.560149,20.389963,19.946245,19.179702,18.089813,16.725295,15.176466,13.559803,11.997374,10.597650,9.447948,
 ,10,62.546760,63.226988,63.648358,63.675741,63.142804,61.912241,59.926099,57.232212,53.981787,50.399935,46.735980,43.205888,39.944992,36.990494,34.302790,31.814370,29.479932,27.304075,25.338786,23.659050,22.333766,21.408385,20.904219,20.823421,21.143795,21.801919,22.681265,23.621639,24.449201,25.013242,25.216357,25.031272,24.502946,23.737148,22.877935,22.077478,21.463457,21.111729,21.032452,21.173377,21.436289,21.698690,21.835178,21.736833,21.328095,20.579463,19.513194,18.199125,16.739039,15.240949,13.789902,12.428430,
 ,15,60.793586,61.837021,62.646359,63.081260,62.967017,62.154453,60.571349,58.251018,55.332314,52.032033,48.595854,45.239852,42.101055,39.217343,36.546977,34.017666,31.579312,29.236227,27.049404,25.114714,23.531572,22.377588,21.697516,21.501802,21.762529,22.402941,23.291853,24.256078,25.110639,25.695149,25.904337,25.705933,25.143747,24.326458,23.404318,22.537657,21.863480,21.468622,21.377105,21.553308,21.915312,22.351310,22.736319,22.950043,22.895991,22.519024,21.816545,20.838454,19.672704,18.417004,17.143734,15.872895,
 ,20,58.456593,59.819331,60.982865,61.802213,62.095222,61.701762,60.535789,58.615693,56.066664,53.095194,49.941101,46.818662,43.865357,41.119217,38.536241,36.039008,33.571280,31.133981,28.791910,26.655182,24.847755,23.477038,22.614090,22.284452,22.462196,23.063414,23.946167,24.926150,25.807547,26.419280,26.646018,26.447266,25.861716,24.996666,24.004358,23.049528,22.275503,21.778381,21.596565,21.714947,22.075530,22.587404,23.136495,23.599698,23.865088,23.854221,23.539318,22.948180,22.152119,21.236874,20.264181,19.240312,
 ,25,55.651194,57.274776,58.742734,59.906102,60.576494,60.584244,59.830556,58.319197,56.161005,53.550624,50.720003,47.879645,45.165967,42.616281,40.183965,37.786187,35.359703,32.899921,30.471553,28.193395,26.207874,24.647875,23.610410,23.140118,23.219572,23.764254,24.626518,25.614185,26.522255,27.169245,27.428776,27.249939,26.663086,25.770106,24.720647,23.678844,22.789065,22.151599,21.815778,21.787431,22.038652,22.510901,23.114621,23.735720,24.254449,24.572145,24.635358,24.447031,24.058193,23.539564,22.941311,22.258517,
 ,30,52.522397,54.335934,56.044113,57.494740,58.494714,58.866751,58.501061,57.387817,55.623512,53.389921,50.909395,48.386690,45.955426,43.651017,41.423620,39.184672,36.863346,34.448049,32.000501,29.643699,27.533056,25.821951,24.630901,24.024977,23.999781,24.476025,25.305769,26.293129,27.226737,27.916234,28.224463,28.089147,27.530202,26.641029,25.564718,24.459891,23.465816,22.679537,22.153495,21.909052,21.949401,22.258107,22.786319,23.445687,24.120677,24.698069,25.099193,25.299484,25.325844,25.230461,25.049914,24.768229,
 ,35,49.241053,51.164429,53.036661,54.703247,55.968219,56.649148,56.627716,55.882332,54.495901,52.636920,50.516760,48.332540,46.213199,44.190812,42.211494,40.180592,38.019307,35.708027,33.303298,30.928737,28.748009,26.930066,25.615385,24.888740,24.761150,25.163003,25.951080,26.930333,27.886660,28.623393,28.994021,28.925147,28.425378,27.577772,26.516126,25.389814,24.327759,23.416179,22.700368,22.205909,21.959531,21.989335,22.301866,22.856008,23.559533,24.295689,24.963650,25.509419,25.931828,26.260634,26.516119,26.670209,
 ,40,45.997035,47.945803,49.897847,51.697547,53.148329,54.065696,54.326043,53.898710,52.854616,51.349260,49.582111,47.740915,45.947964,44.230351,42.529170,40.743300,38.785766,36.628297,34.320656,31.984209,29.786842,27.908497,26.505621,25.680584,25.460298,25.787588,26.528001,27.491693,28.465857,29.250840,29.693149,29.709557,29.297597,28.529309,27.527796,26.431066,25.354414,24.367688,23.499679,22.766347,22.202272,21.870231,21.837167,22.130289,22.707588,23.469010,24.300450,25.118744,25.890929,26.619905,27.306227,27.907830,
 ,45,42.986985,44.879834,46.825544,48.668950,50.215632,51.282774,51.745577,51.567959,50.811420,49.619562,48.179592,46.668418,45.199724,43.793861,42.385827,40.867701,39.144351,37.178585,35.012270,32.762237,30.597154,28.703787,27.250468,26.354191,26.056731,26.314427,27.004345,27.945563,28.930583,29.760520,30.277971,30.392015,30.090261,29.434031,28.535454,27.520502,26.489646,25.493745,24.539220,23.620868,22.762832,22.041614,21.572496,21.460084,21.741339,22.364662,23.222525,24.208531,25.255642,26.335065,27.423284,28.461465,
