Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,
 ,0,64.000000,63.901533,63.609058,63.131169,62.481614,61.678456,60.742989,59.698480,58.568829,57.377291,56.145364,54.891975,53.633067,52.381636,51.148215,49.941743,48.770689,47.644253,46.573444,45.571837,44.655826,43.844264,43.157435,42.615443,42.236220,42.033458,
 ,5,63.022844,64.661853,65.921925,66.652311,66.785104,66.345819,65.446487,64.261888,62.991042,61.809866,60.826668,60.055653,59.419482,58.779880,57.983296,56.905110,55.480864,53.720422,51.705961,49.576559,47.502435,45.652459,44.160499,43.098872,42.467462,42.202081,
 ,10,60.196064,63.516595,66.325097,68.324051,69.362035,69.449189,68.750074,67.552711,66.210565,65.059045,64.322757,64.047585,64.092043,64.183544,64.009729,63.305238,61.910609,59.799598,57.080612,53.978375,50.798477,47.874380,45.498143,43.847375,42.937495,42.628307,
 ,15,55.827672,60.693939,64.956098,68.192068,70.173311,70.880272,70.498750,69.392301,68.039754,66.929249,66.420585,66.625043,67.369551,68.269415,68.863725,68.744731,67.643595,65.470658,62.322528,58.466827,54.308374,50.332139,47.012672,44.690294,43.455215,43.118159,
 ,20,50.410508,56.610354,62.136857,66.478346,69.345058,70.682221,70.673193,69.722487,68.400640,67.330326,67.013128,67.652459,69.075549,70.810928,72.264413,72.890730,72.305420,70.337408,67.042102,62.691163,57.745563,52.806773,48.526124,45.447877,43.810238,43.431733,
 ,25,44.587981,51.835228,58.344158,63.560888,67.157967,69.047414,69.394118,68.614144,67.335272,66.288326,66.111133,67.115981,69.157643,71.703400,74.044923,75.510806,75.603059,74.060577,70.877580,66.298436,60.798768,55.050449,49.848227,45.950269,43.809848,43.334676,
 ,30,39.089773,47.023134,54.150368,59.927004,64.013391,66.295032,66.909289,66.261052,65.003588,63.945305,63.844493,65.127629,67.696169,70.978610,74.173470,76.500293,77.357727,76.395308,73.535798,68.974234,63.166221,56.807110,50.784431,46.045485,43.299458,42.634611,
 ,35,34.602946,42.795488,50.125035,56.094731,60.372431,62.825337,63.560408,62.956473,61.666458,60.546046,60.451317,61.917070,64.900019,68.806151,72.761378,75.897558,77.527305,77.220196,74.826831,70.480814,64.592653,57.840659,51.149565,45.603809,42.170922,41.201590,
 ,40,31.551169,39.569241,46.699739,52.504177,56.668371,59.049889,59.728396,59.050603,57.651962,56.409818,56.252899,57.809186,61.087529,65.479118,70.055240,73.883942,76.214747,76.554144,74.688633,70.688100,64.903546,57.966276,50.787904,44.524354,40.365038,38.977158,
 ,45,29.879795,37.400560,44.037755,49.403300,53.206364,55.304958,55.760283,54.889745,53.304429,51.886072,51.613145,53.185657,56.650279,61.381584,66.410296,70.765188,73.659020,74.557428,73.198044,69.593632,64.031907,57.079580,49.596774,42.745857,37.872981,35.977111,
