Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,
 ,0,63.000000,63.161481,63.577042,64.068537,64.418980,64.452002,64.091550,63.386800,62.497901,61.644909,61.031197,60.766357,60.822760,61.048787,61.231871,61.180096,60.789872,60.080784,59.191271,58.335760,57.731434,57.516337,57.693556,58.130922,58.616669,58.941817,
 ,5,62.988732,62.723039,62.772135,63.039831,63.333541,63.439924,63.203132,62.578965,61.651836,60.610960,59.689137,59.078836,58.856294,58.950719,59.176494,59.311036,59.180481,58.721238,58.002087,57.203237,56.555896,56.256826,56.388909,56.886399,57.564238,58.194260,
 ,10,62.861740,62.240729,61.901836,61.853950,61.975849,62.065297,61.917911,61.402525,60.508926,59.356581,58.161326,57.164505,56.543203,56.338108,56.437791,56.629988,56.691809,56.476132,55.964324,55.273593,54.618015,54.230785,54.270777,54.753891,55.546354,56.422908,
 ,15,62.371796,61.564010,60.926490,60.565283,60.457773,60.460196,60.364928,59.980630,59.203355,58.057259,56.695081,55.355670,54.284349,53.639082,53.424656,53.493692,53.616064,53.578337,53.267656,52.713371,52.078063,51.599566,51.497294,51.876871,52.681041,53.715221,
 ,20,61.198195,60.419615,59.656531,59.078770,58.761007,58.649221,58.579765,58.343197,57.763978,56.766267,55.407287,53.869723,52.410666,51.274393,50.596607,50.347370,50.349680,50.365011,50.198491,49.777432,49.180189,48.609727,48.316304,48.490644,49.174051,50.236624,
 ,25,59.040350,58.501128,57.821895,57.191383,56.755039,56.554602,56.505704,56.427605,56.111936,55.400533,54.245207,52.733644,51.073946,49.535624,48.356274,47.646367,47.343306,47.247549,47.121387,46.796219,46.243417,45.589402,45.071224,44.940448,45.347185,46.263424,
 ,30,55.695526,55.559170,55.161977,54.668429,54.254074,54.037837,54.028523,54.113383,54.097448,53.775736,53.008210,51.773126,50.185422,48.473495,46.912754,45.727794,45.000567,44.637873,44.424382,44.131134,43.621376,42.912031,42.174720,41.673667,41.652385,42.213446,
 ,35,51.109461,51.469941,51.506777,51.326732,51.092307,50.964100,51.034404,51.280589,51.564190,51.678822,51.424783,50.680551,49.449573,47.871033,46.188678,44.677137,43.541158,42.830255,42.421946,42.090553,41.621647,40.913157,40.026259,39.172781,38.636875,38.647486,
 ,40,45.402876,46.277689,46.835196,47.103817,47.195719,47.270426,47.474403,47.875323,48.421874,48.952890,49.253150,49.129836,48.480400,47.332775,45.848267,44.281814,42.900896,41.883392,41.241953,40.825220,40.400961,39.772681,38.873037,37.803241,36.807806,36.182694,
 ,45,38.885047,40.219197,41.312398,42.107246,42.638840,43.024187,43.422143,43.968888,44.711521,45.573594,46.374114,46.891158,46.940193,46.438454,45.438562,44.122925,42.754409,41.587388,40.765918,40.261326,39.893395,39.426047,38.682515,37.628373,36.398520,35.260166,
 ,50,32.072390,33.746439,35.318515,36.650377,37.686187,38.466846,39.117625,39.803038,40.655904,41.708301,42.862268,43.919153,44.651758,44.885048,44.557318,43.746941,42.657267,41.556220,40.679067,40.129130,39.832448,39.580447,39.135939,38.343430,37.199432,35.865858,
