Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,
 ,0,64.000000,63.578569,62.339543,60.356870,57.747731,54.663831,51.279970,47.780607,44.345378,41.134772,38.277571,35.861893,33.931423,32.487225,31.493612,30.885284,30.573491,30.451005,30.397461,30.286655,29.996154,29.418169,28.470035,27.102750,25.306489,23.112579,20.591836,17.849544,15.017707,12.245440,9.688746,7.500845,5.822430,4.763480,4.364257,4.573438,5.305075,6.486420,8.033472,9.826532,11.715113,13.534897,15.125177,16.344485,17.084461,17.282244,16.931769,16.094892,14.913508,13.621332,12.540469,12.015789,
 ,5,64.067693,63.824170,62.754084,60.923863,58.444021,55.460827,52.145216,48.679658,45.243927,42.000959,39.084287,36.588769,34.566086,33.025482,31.938563,31.245751,30.862301,30.683498,30.590298,30.456815,30.160015,29.590643,28.663789,27.327596,25.568995,23.415930,20.935917,18.231182,15.430875,12.681186,10.134398,7.938214,6.226306,5.107852,4.647564,4.841340,5.626577,6.915723,8.601684,10.550567,12.605214,14.597155,16.360967,17.748493,18.641995,18.965788,18.696259,17.870634,16.595480,15.055893,13.522078,12.332078,
 ,10,64.261174,64.197214,63.295841,61.616020,59.261705,56.373888,53.119851,49.680326,46.235494,42.950961,39.965131,37.379564,35.253723,33.604706,32.411067,31.618707,31.146823,30.893392,30.741087,30.564907,30.241859,29.661852,28.738312,27.417019,25.682078,23.558422,21.110652,18.438404,15.668690,12.945917,10.420548,8.237632,6.526714,5.393677,4.910447,5.097337,5.914187,7.275535,9.065351,11.141384,13.340690,15.489901,17.418053,18.969939,20.018754,20.477258,20.307003,19.525634,18.212824,16.516033,14.656770,12.931746,
 ,15,64.552708,64.672357,63.942150,62.413639,60.184303,57.389986,54.194490,50.777023,47.318399,43.987102,40.926541,38.244983,36.009554,34.244960,32.936399,32.034941,31.463505,31.122677,30.896971,30.662569,30.296948,29.689666,28.752947,27.430620,25.704308,23.596214,21.168286,18.517872,15.770281,13.068875,10.563543,8.398658,6.702023,5.576565,5.094136,5.285109,6.125442,7.538483,9.408064,11.588542,13.913068,16.203928,18.284831,19.993840,21.195748,21.792985,21.734428,21.021850,19.714222,17.930711,15.853825,13.733123,
 ,20,64.899380,65.208487,64.654158,63.280570,61.178787,58.479595,55.343438,51.948150,48.475349,45.096556,41.960302,39.181617,36.835245,34.953375,33.527637,32.513982,31.838734,31.404815,31.098418,30.796915,30.378413,29.732381,28.770143,27.433860,25.702900,23.596911,21.175309,18.533276,15.794606,13.101997,10.605557,8.450464,6.765072,5.651403,5.179492,5.381793,6.242940,7.695286,9.626883,11.892444,14.323425,16.739009,18.958419,20.813762,22.162334,22.897462,22.957161,22.330166,21.059290,19.242593,17.033520,14.641788,
 ,25,65.247410,65.752800,65.380618,64.167693,62.198710,59.599441,56.527030,53.158015,49.674903,46.252344,43.044074,40.171944,37.718357,35.722985,34.183819,33.061523,32.285520,31.760687,31.374517,31.005300,30.531639,29.842914,28.849633,27.492399,25.748415,23.634815,21.208474,18.562349,15.818654,13.119442,10.615314,8.453117,6.763670,5.650996,5.185022,5.397193,6.274614,7.755602,9.733477,12.065570,14.583574,17.104993,19.445691,21.432828,22.917248,23.784399,23.963013,23.431027,22.218492,20.407679,18.131113,15.569070,
 ,30,65.537110,66.245633,66.062539,65.017341,63.188358,60.696345,57.695143,54.359980,50.874247,47.415720,44.143350,41.185855,38.633379,36.533199,34.889776,33.668489,32.801690,32.195841,31.739259,31.310659,30.788744,30.062540,29.041581,27.664826,25.907254,23.783408,21.347500,18.690088,15.931572,13.213071,10.685408,8.497047,6.781922,5.648141,5.168742,5.375520,6.255514,7.749727,9.755632,12.133756,14.717133,17.322727,19.764112,21.864540,23.469467,24.457631,24.749889,24.315199,23.173431,21.394971,19.097537,16.441220,
 ,35,65.707841,66.625382,66.638025,65.768008,64.087284,61.711557,58.791290,55.500303,52.022755,48.539440,45.214440,42.183324,39.544065,37.351751,35.617588,34.311890,33.369971,32.699655,32.189617,31.718418,31.164281,30.415377,29.379887,27.994853,26.232822,24.105570,21.664484,18.997524,16.223022,13.480802,10.921327,8.693753,6.933846,5.752853,5.228283,5.396859,6.249527,7.730078,9.738408,12.137062,14.760187,17.424587,19.942226,22.133287,23.838784,24.931803,25.326542,24.984489,23.917329,22.186431,19.899126,17.202355,
 ,40,65.702477,66.833022,67.046794,66.358829,64.834717,62.585043,59.756765,56.522116,53.065806,49.571411,46.207949,43.117723,40.406583,38.137667,36.329315,34.957206,33.959891,33.246547,32.705886,32.215754,31.653229,30.904980,29.877276,28.504790,26.757294,24.643544,22.211897,19.547559,16.766635,14.007405,11.419451,9.151382,7.338163,6.089861,5.485018,5.568661,6.345668,7.769677,9.743430,12.129344,14.760975,17.454244,20.019512,22.274326,24.055945,25.232666,25.713045,25.452320,24.455538,22.777174,20.517305,17.814709,
 ,45,65.471116,66.815923,67.234071,66.733505,65.373473,63.259367,60.534471,57.369184,53.948450,50.458281,47.072296,43.939300,41.172973,38.844707,36.980434,35.561770,34.531011,33.798921,33.254130,32.773324,32.231788,31.513969,30.523535,29.192192,27.486451,25.411665,23.012883,20.372354,17.603792,14.843731,12.240428,9.940861,8.076741,6.752453,6.041761,5.995792,6.640980,7.953104,9.843853,12.175133,14.777734,17.465077,20.045190,22.332911,24.162085,25.396814,25.940792,25.743958,24.805899,23.175741,20.948501,18.258179,
 ,50,64.973967,66.530886,67.153728,66.843525,65.653234,63.682991,61.072222,57.989190,54.618683,51.148691,47.756973,44.598465,41.794499,39.424840,37.523451,36.078547,35.036843,34.311153,33.790123,33.349000,32.860704,32.206734,31.287393,30.030694,28.399243,26.394443,24.057569,21.467509,18.735205,15.995009,13.393260,11.074424,9.165832,7.764908,6.938326,6.738209,7.209495,8.357280,10.112845,12.342342,14.873710,17.516522,20.075441,22.362153,24.207105,25.470524,26.051775,25.896179,24.998715,23.404238,21.204181,18.529965,
