Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,
 ,0,64.000000,63.838801,63.357530,62.563117,61.466956,60.084682,58.435856,56.543577,54.434026,52.135943,49.680064,47.098514,44.424182,41.690076,38.928687,36.171371,33.447750,30.785171,28.208217,25.738296,23.393322,21.187510,19.131300,17.231433,15.491188,13.910786,12.487946,11.218548,10.097324,9.118446,8.275877,7.563319,6.973697,6.498240,6.125465,5.840522,5.625303,5.459421,5.321776,5.192222,5.052956,4.889458,4.691040,4.451127,4.167449,3.842301,3.483085,3.103444,2.725409,2.382782,2.123736,2.003573,
 ,5,63.997818,64.016852,63.711194,63.084545,62.145273,60.906250,59.384608,57.601400,55.581195,53.351596,50.942701,48.386513,45.716326,42.966069,40.169664,37.360364,34.570130,31.829025,29.164662,26.601710,24.161478,21.861587,19.715768,17.733785,15.921522,14.281239,12.812023,11.510377,10.370932,9.387127,8.551730,7.857005,7.294410,6.853863,6.522836,6.285704,6.123775,6.016110,5.940888,5.876914,5.804898,5.708352,5.574125,5.392669,5.158133,4.868392,4.525091,4.133793,3.704400,3.252145,2.799671,2.380927,
 ,10,63.986342,64.178310,64.038869,63.568823,62.773908,61.664689,60.256354,58.568430,56.624395,54.451225,52.078861,49.539631,46.867610,44.097958,41.266241,38.407735,35.556744,32.745950,30.005779,27.363834,24.844390,22.467965,20.251002,18.205676,16.339856,14.657260,13.157809,11.838200,10.692647,9.713684,8.892861,8.221130,7.688735,7.284610,6.995501,6.805261,6.694736,6.642413,6.625641,6.622044,6.610781,6.573488,6.494877,6.363071,6.169743,5.910140,5.583032,5.190635,4.738551,4.235815,3.695238,3.134432,
 ,15,63.951398,64.303810,64.316696,63.988429,63.322611,62.328012,61.018398,59.412269,57.532488,55.405838,53.062483,50.535377,47.859613,45.071729,42.208988,39.308643,36.407210,33.539748,30.739172,28.035607,25.455802,23.022622,20.754627,18.665784,16.765337,15.057871,13.543630,12.219089,11.077764,10.111168,9.309693,8.663196,8.161042,7.791556,7.541116,7.393315,7.328688,7.325206,7.359401,7.407747,7.447964,7.460037,7.426912,7.334918,7.173979,6.937679,6.623218,6.231291,5.765908,5.234189,4.646174,4.014757,
 ,20,63.871299,64.367830,64.516221,64.312942,63.759990,62.864853,61.640357,60.104411,58.279651,56.192979,53.875029,51.359551,48.682733,45.882484,42.997669,40.067342,37.129961,34.222618,31.380295,28.635152,26.015874,23.547079,21.248827,19.136247,17.219338,15.502986,13.987269,12.668083,11.538068,10.587727,9.806509,9.183542,8.707767,8.367365,8.148738,8.035507,8.008081,8.044026,8.119144,8.208878,8.289684,8.340148,8.341785,8.279542,8.142080,7.921880,7.615223,7.222068,6.745846,6.193183,5.573572,4.899017,
 ,25,63.719447,64.341622,64.607523,64.512250,64.056697,63.247520,62.097007,60.622815,58.847611,56.798609,54.507015,52.007395,49.336973,46.534882,43.641367,40.696977,37.741738,34.814336,31.951321,29.186338,26.549412,24.066292,21.757897,19.639885,17.722410,16.010138,14.502593,13.194877,12.078756,11.143951,10.379381,9.773986,9.316842,8.996493,8.799758,8.710561,8.709352,8.773412,8.877922,8.997428,9.107305,9.184976,9.210805,9.168671,9.046305,8.835432,8.531767,8.134895,7.648062,7.077864,6.433880,5.728235,
 ,30,63.467443,64.196426,64.562431,64.559667,64.188344,63.454654,62.370631,60.953892,59.227271,57.218341,54.958851,52.484067,49.832056,47.042903,44.157893,41.218662,38.266338,35.340680,32.479240,29.716542,27.083318,24.605806,22.305145,20.196921,18.290927,16.591220,15.096559,13.801275,12.696518,11.771697,11.015807,10.418243,9.968808,9.656877,9.470014,9.392651,9.405410,9.485379,9.607217,9.744704,9.872304,9.966485,10.006690,9.975976,9.861387,9.654117,9.349520,8.946985,8.449714,7.864404,7.200848,6.471469,
 ,35,63.088315,63.906622,64.357499,64.434654,64.137933,63.473304,62.452712,61.093817,59.419615,57.457959,55.240972,52.804385,50.186792,47.428852,44.572446,41.659802,38.732602,35.831096,32.993218,30.253737,27.643451,25.188460,22.909548,20.821740,18.934112,17.249946,15.767301,14.480042,13.379219,12.454590,11.695925,11.093715,10.639003,10.322353,10.132299,10.053906,10.068044,10.151674,10.279025,10.423233,10.558007,10.659046,10.705068,10.678508,10.565906,10.358087,10.050164,9.641416,9.135045,8.537850,7.859811,7.113607,
 ,40,62.559536,63.452504,63.976489,64.124968,63.897622,63.300307,62.344911,61.049085,59.435859,57.533153,55.373184,52.991789,50.427674,47.721596,44.915506,42.051657,39.171686,36.315708,33.521409,30.823175,28.251278,25.831144,23.582769,21.520324,19.652072,17.980643,16.503755,15.215365,14.107117,13.169842,12.394750,11.773955,11.300109,10.965182,10.758791,10.666691,10.670040,10.745731,10.867651,11.008412,11.141123,11.240879,11.285854,11.258022,11.143566,10.933058,10.621451,10.207949,9.695755,9.091729,8.405969,7.651326,
 ,45,61.865549,62.822483,63.412199,63.628094,63.469745,62.942882,62.059235,60.836270,59.296795,57.468471,55.383215,53.076519,50.586696,47.954052,45.220028,42.426289,39.613811,36.821957,34.087570,31.444110,28.920849,26.542183,24.327109,22.288933,20.435296,18.768589,17.286784,15.984636,14.855113,13.890777,13.084798,12.431266,11.924636,11.558375,11.323209,11.205595,11.187014,11.244358,11.351267,11.479965,11.603110,11.695355,11.734485,11.702158,11.584320,11.371372,11.058158,10.643818,10.131530,9.528162,8.843857,8.091563,
 ,50,60.999643,62.014558,62.667529,62.951883,62.867027,62.418416,61.617401,60.480962,59.031319,57.295447,55.304481,53.093043,50.698483,48.160072,45.518131,42.813144,40.084838,37.371283,34.707999,32.127126,29.656672,27.319894,25.134862,23.114285,21.265646,19.591714,18.091418,16.761029,15.595471,14.589533,13.738665,13.039095,12.487131,12.077719,11.802671,11.649150,11.599006,11.629217,11.713305,11.823246,11.931406,12.012151,12.043022,12.005484,11.885335,11.672868,11.362839,10.954313,10.450399,9.857906,9.186945,8.450484,
 ,55,59.965050,61.036999,61.755724,62.114363,62.111954,61.753407,61.049352,60.015880,58.674167,57.049994,55.173172,53.076879,50.796927,48.370963,45.837628,43.235687,40.603148,37.976386,35.389308,32.872571,30.452910,28.152605,25.989141,23.975131,22.118531,20.423180,18.889650,17.516324,16.300540,15.239596,14.331344,13.574151,12.966104,12.503548,12.179336,11.981357,11.891902,11.888165,11.943701,12.030410,12.120525,12.188278,12.211092,12.170338,12.051736,11.845496,11.546278,11.153026,10.668707,10.099974,9.456790,8.752019,
