Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,
 ,0,64.000000,63.676122,62.719857,61.176367,59.117864,56.639179,53.851931,50.877630,47.840172,44.858284,42.038583,39.469915,37.219570,35.331597,33.826942,32.704590,31.942769,31.499740,31.314571,31.308888,31.390530,31.459289,31.414163,31.161112,30.620330,29.732312,28.462267,26.802677,24.773941,22.423155,19.821184,17.058241,14.238268,11.472470,8.872395,6.542984,4.576123,3.045626,2.006135,1.497609,1.529303,2.045145,2.969288,4.225728,5.722579,7.353111,9.003391,10.560120,11.917889,12.985692,13.692466,13.991391,
 ,5,63.870295,63.632403,62.760106,61.296024,59.310083,56.895198,54.161483,51.229357,48.221981,45.257621,42.442620,39.865719,37.594363,35.673267,34.124906,32.951003,32.133861,31.636897,31.404747,31.364113,31.426562,31.493759,31.464608,31.243230,30.746639,29.911258,28.697761,27.094007,25.115998,22.806939,20.234545,17.486832,14.666723,11.885861,9.258179,6.893983,4.895743,3.357054,2.360070,1.935860,1.994917,2.431277,3.227797,4.364567,5.769507,7.337598,8.951823,10.495062,11.858032,12.945747,13.682984,14.018585,
 ,10,63.483415,63.332049,62.545553,61.163948,59.254803,56.909009,54.235057,51.352132,48.382508,45.443818,42.641942,40.065308,37.781293,35.835039,34.250338,33.031491,32.164834,31.619064,31.344670,31.273820,31.322235,31.393807,31.387594,31.206008,30.762931,29.990712,28.845471,27.310433,25.397231,23.145267,20.619293,17.905481,15.106354,12.335054,9.709676,7.348673,5.368547,3.882000,2.976025,2.630504,2.689073,3.037479,3.690624,4.678396,5.961329,7.442827,9.003269,10.520357,11.879581,12.981022,13.744715,14.114880,
 ,15,62.846044,62.781619,62.082581,60.786298,58.957899,56.686159,54.077829,51.250740,48.326147,45.420912,42.640307,40.072281,37.783960,35.820717,34.207459,32.950911,32.041379,31.452908,31.142064,31.046812,31.087373,31.170153,31.194539,31.061313,30.681216,29.982476,28.916603,27.462136,25.626311,23.444728,20.979230,18.314278,15.552238,12.808141,10.204742,7.868872,5.929232,4.508527,3.680722,3.383528,3.438070,3.728353,4.271265,5.122418,6.277761,7.660377,9.154508,10.634789,11.981790,13.090493,13.875998,14.277826,
 ,20,61.969271,61.992082,61.381962,60.173569,58.429516,56.236365,53.699028,50.933880,48.061053,45.196539,42.444899,39.893492,37.609055,35.637037,34.003288,32.716807,31.771779,31.147629,30.807157,30.694375,30.734271,30.835971,30.899294,30.823397,30.515831,29.900625,28.924595,27.561525,25.814195,23.714364,21.320945,18.716681,16.003783,13.299136,10.729893,8.430163,6.537345,5.176612,4.405422,4.137581,4.190902,4.448188,4.917053,5.659491,6.697810,7.979621,9.400167,10.835183,12.162080,13.271367,14.073445,14.503285,
 ,25,60.868508,60.978744,60.458794,59.340546,57.684021,55.573484,53.111918,50.414159,47.599148,44.781948,42.066353,39.539072,37.266379,35.293686,33.647650,32.339395,31.366888,30.714916,30.352602,30.230175,30.277559,30.406710,30.517900,30.508606,30.283091,29.761087,28.884630,27.622682,25.973511,23.964985,21.653029,19.118598,16.463626,13.806604,11.278487,9.019220,7.171825,5.860221,5.128581,4.880039,4.936123,5.178224,5.601623,6.264033,7.203011,8.389127,9.733205,11.116563,12.416094,13.519130,14.332005,14.785514,
 ,30,59.563374,59.761139,59.332397,58.306208,56.739927,54.715443,52.333739,49.708052,46.956092,44.191975,41.518732,39.022421,36.768833,34.803285,33.153140,31.831525,30.840069,30.168862,29.793368,29.670103,29.733994,29.899831,30.068267,30.134976,30.000811,29.581101,28.813031,27.660695,26.117820,24.208349,21.985172,19.527364,16.936426,14.332132,11.848597,9.630303,7.823839,6.550860,5.846905,5.612452,5.675090,5.914521,6.313363,6.919976,7.778380,8.877503,10.145303,11.472310,12.737791,13.827633,14.645067,15.117285,
 ,35,58.077543,58.362874,58.026164,57.093585,55.619755,53.684120,51.385603,48.835805,46.151200,43.444986,40.819479,38.360155,36.132362,34.181328,32.535068,31.208599,30.207092,29.525831,29.146564,29.032057,29.122184,29.334454,29.569735,29.721725,29.687717,29.378550,28.726525,27.690869,26.260779,24.456281,22.327206,19.950686,17.427636,14.878824,12.440953,10.262075,8.491202,7.248102,6.563815,6.340740,6.413075,6.658573,7.047681,7.617262,8.411859,9.433657,10.627114,11.894312,13.119554,14.189208,15.004590,15.490026,
 ,40,56.438533,56.811423,56.567355,55.729555,54.349842,52.505159,50.292324,47.821287,45.207312,42.562747,39.989306,37.572003,35.375863,33.446090,31.811340,30.488446,29.485978,28.804270,28.431202,28.335636,28.462203,28.730891,29.042524,29.288601,29.362721,29.171183,28.641424,27.727865,26.415251,24.719744,22.688145,20.395608,17.942359,15.449922,13.057164,10.915054,9.174528,7.954389,7.284324,7.071159,7.155509,7.412969,7.802506,8.348791,9.093184,10.046659,11.168384,12.373105,13.552329,14.594809,15.401263,15.894001,
 ,45,54.677448,55.137850,54.986811,54.244562,52.960066,51.207706,49.082169,46.691757,44.150577,41.570238,39.052014,36.680649,34.521028,32.618462,31.002298,29.691128,28.696785,28.024445,27.667875,27.601747,27.775109,28.110059,28.507045,28.855128,29.044105,28.975750,28.572736,27.784819,26.592426,25.007974,23.075300,20.867602,18.484351,16.047670,13.698293,11.589720,9.874697,8.672083,8.012438,7.808260,7.906091,8.179187,8.575750,9.108280,9.812759,10.705439,11.757993,12.898013,14.025789,15.034193,15.824692,16.318499,
