Predictor,0

 , , 0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,
 ,0,64.000000,63.735627,62.981955,61.849057,60.493188,59.078437,57.731082,56.499183,55.332620,54.093135,52.591290,50.636427,48.083720,44.867842,41.019644,36.666992,32.023954,27.375845,23.073126,19.549914,17.350309,17.021336,18.754741,22.219898,26.859267,32.120874,37.472827,42.380290,46.319158,48.821767,49.539062,48.309132,45.229609,40.740243,35.724638,31.575814,29.875392,31.247843,34.613590,38.177882,40.483889,40.643524,38.282601,33.502112,26.932718,20.054704,16.093330,18.457288,24.756330,31.195189,35.882024,37.940137,
 ,5,64.034232,64.480274,64.360398,63.732433,62.713123,61.447220,60.069421,58.667145,57.254878,55.769423,54.088597,52.066987,49.577093,46.544853,42.973003,38.950533,34.650194,30.319176,26.271322,22.889389,20.626740,19.939530,21.079276,23.920499,28.058101,32.993818,38.208670,43.169400,47.342813,50.234970,51.448222,50.747258,48.130010,43.906913,38.798974,34.037975,31.252399,31.594906,34.568107,38.443571,41.535360,42.699095,41.321486,37.251180,30.777251,22.722149,15.050374,12.822409,18.437121,26.120363,32.635624,36.766298,
 ,10,64.132326,65.245687,65.692208,65.489722,64.728835,63.546105,62.090398,60.487557,58.810837,57.065381,55.192156,53.090544,50.652396,47.797559,44.502509,40.817570,36.872227,32.871233,29.086761,25.851749,23.549648,22.567876,23.174388,25.379328,28.929959,33.419810,38.373469,43.278148,47.605021,50.845461,52.563705,52.460001,50.439615,46.688609,41.764643,36.703144,33.025177,32.197623,34.398142,38.224018,41.871409,43.959809,43.647312,40.560454,34.736600,26.603650,17.087934,8.892073,11.104674,19.868765,28.106953,34.190102,
 ,15,64.280819,65.996241,66.927056,67.064273,66.484576,65.325179,63.752676,61.929147,59.980380,57.972869,55.906050,53.722804,51.335452,48.659517,45.646163,42.306443,38.724195,35.058002,31.535131,28.441025,26.103479,24.857620,24.969676,26.536052,29.436038,33.372947,37.940956,42.668368,47.046799,50.566916,52.767550,53.295688,51.973181,48.869237,44.383821,39.347305,35.084234,33.144208,34.294113,37.689639,41.598203,44.458861,45.215883,43.292382,38.523600,31.104702,21.546543,10.684636,3.168920,12.894485,22.682267,30.464911,
 ,20,64.458381,66.694160,68.018041,68.406778,67.933676,66.743535,65.022851,62.967177,60.748565,58.487802,56.237652,53.982458,51.655362,49.168578,46.448181,43.464650,40.253401,36.923306,33.654274,30.686477,28.302566,26.798670,26.433844,27.358853,29.558906,32.849101,36.910967,41.333068,45.644464,49.350637,51.979573,53.138289,52.576736,50.257123,46.430902,41.728508,37.240680,34.421788,34.414985,37.038176,40.868702,44.277716,46.027045,45.351088,41.906350,35.720204,27.146347,16.828866,5.897298,6.900712,17.190936,26.079108,
 ,25,64.637333,67.302124,68.924512,69.477873,69.040833,67.771309,65.877170,63.584693,61.106239,58.609943,56.196409,53.888762,51.640638,49.361405,46.951778,44.340004,41.510160,38.518062,35.494088,32.634708,30.185042,28.412929,27.571314,27.846812,29.306477,31.868966,35.311743,39.298858,43.412931,47.190222,50.163612,51.915213,52.136796,50.695747,47.706683,43.611810,39.262312,35.913109,34.843063,36.463172,39.870205,43.543052,46.125949,46.684649,44.707394,40.067391,32.996932,24.100659,14.614596,8.719045,13.602056,21.926527,
 ,30,64.785489,67.785486,69.614188,70.250109,69.784083,68.391681,66.303481,63.774205,61.051214,58.343362,55.793390,53.459929,51.316184,49.268730,47.192522,44.972020,42.537421,39.888649,37.104616,34.338751,31.803463,29.746071,28.417014,28.029594,28.714207,30.480252,33.201679,36.627792,40.408310,44.125386,47.332833,49.604161,50.588651,50.073397,48.050153,44.787979,40.908840,37.423758,35.556052,36.113674,38.803231,42.419250,45.602015,47.286710,46.802538,43.863434,38.554574,31.350044,23.248792,16.376496,14.848854,19.512943,
 ,35,64.868158,68.113989,70.064553,70.709311,70.156385,68.602783,66.303326,63.539734,60.590006,57.697650,55.041757,52.712643,50.701572,48.912125,47.193299,45.384902,43.361732,41.066046,38.523858,35.845409,33.212549,30.856404,29.028103,27.963832,27.845029,28.758824,30.670679,33.419107,36.730473,40.245689,43.554788,46.239525,47.924018,48.331954,47.348664,45.087509,41.959021,38.722958,36.430273,36.055976,37.850904,41.094726,44.584820,47.196758,48.120434,46.905231,43.460768,38.066581,31.425495,24.833685,20.448000,20.407103,
 ,40,64.850112,68.262965,70.263587,70.855310,70.166751,68.419371,65.894065,62.899138,59.740092,56.689862,53.958209,51.662837,49.810974,48.302846,46.961838,45.583479,43.987324,42.057806,39.767571,37.183130,34.455726,31.801148,29.472065,27.725437,26.786140,26.808349,27.841426,29.811863,32.527121,35.695975,38.957968,41.919782,44.199080,45.475476,45.547138,44.391653,42.229588,39.581422,37.271831,36.253854,37.142716,39.760508,43.235828,46.498453,48.642327,49.058441,47.465779,43.921083,38.835963,33.018599,27.733199,24.557600,
 ,45,64.697412,68.214040,70.209838,70.702012,69.840779,67.874069,65.110817,61.886537,58.532538,55.347093,52.565349,50.327748,48.654843,47.443062,46.491337,45.552969,44.394569,42.844629,40.823320,38.353069,35.553112,32.621995,29.811821,27.397331,25.641448,24.757474,24.870737,25.990250,28.002643,30.687676,33.744110,36.819571,39.545650,41.580318,42.657455,42.641927,41.588420,39.799174,37.859016,36.577835,36.723528,38.581304,41.734518,45.315271,48.401144,50.252312,50.399637,48.672280,45.208867,40.465197,35.217116,30.518143,
