Date,Input,Height,Width,Init_Class,Use_Class,Prd_Order,Header[bits],Class[bits],Predictor[bits],Threshold[bits],Pred. Errors[bits],Total info.[bits],Coding Rate[bits/pel], ,Auto_Del_CL,Auto_Set_Coef,BASE_BSIZE,QUADTREE_DEPTH,MIN_BSIZE,MAX_BSIZE,COEF_PRECISION,PM_ACCURACY,NUM_GROUP,UPEL_DIST,CTX_WEIGHT,
2011/10/14_15:17,airplane.pgm,512,512,63,31,110,105,14184,3200,1448,913360,932641,3.557743, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/15_12:44,baboon.pgm,512,512,63,45,110,105,13576,5856,1792,1456832,1478385,5.639591, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/16_16: 7,balloon.pgm,576,720,63,36,110,105,23760,6208,1368,1024440,1056673,2.547919, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/18_13:35,barb.pgm,576,720,63,61,110,105,20264,12288,2536,1531128,1567049,3.778571, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/22_ 5:47,barb2.pgm,576,720,63,53,110,105,21616,11432,2352,1694944,1730945,4.173768, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/24_13:29,camera.pgm,256,256,63,25,110,105,3288,2016,1048,248928,255481,3.898331, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/24_18: 8,couple.pgm,256,256,63,31,110,105,4464,2152,1440,211304,219569,3.350357, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/24_23:28,goldhill.pgm,576,720,63,41,110,105,24296,6720,1832,1699856,1733385,4.179651, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/27_ 2:28,lena.pgm,512,512,63,37,110,105,13152,3912,1480,1096072,1115129,4.253880, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/28_ 0:55,lennagrey.pgm,512,512,63,39,110,105,13640,3960,1600,993704,1013353,3.865635, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/29_ 3:41,noisesquare.pgm,256,256,63,3,110,105,464,632,144,340928,342425,5.224991, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/29_ 4:13,peppers.pgm,512,512,63,31,110,105,14328,5512,1376,1062664,1084337,4.136417, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/10/30_ 5:21,shapes.pgm,512,512,63,38,110,105,13088,2624,1320,129168,146617,0.559299, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2011/11/18_21: 3,noisesquare.pgm,256,256,63,3,110,105,464,632,144,340928,342425,5.224991, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2015/10/23_12:13,noisesquare.pgm,256,256,63,5,110,105,1496,952,192,339832,342745,5.229874, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
2015/10/23_12:44,camera.pgm,256,256,63,25,110,105,3288,2016,1048,248928,255481,3.898331, ,ON,ON,8,-1,2,32,6,3,16,3,mhd,
