Upara,Num_Pels,Variance,Deviation
0,559,0.5468,0.7395
1,1826,0.6324,0.7953
2,3350,0.7195,0.8482
3,4533,0.8293,0.9106
4,5405,1.1183,1.0575
5,6409,1.3369,1.1562
6,7028,1.5994,1.2647
7,7662,2.3625,1.5371
8,8132,2.1542,1.4677
9,8460,2.3801,1.5428
10,8499,3.2940,1.8149
11,8448,4.1151,2.0286
12,8604,3.4986,1.8705
13,8199,4.0088,2.0022
14,7801,4.0343,2.0086
15,7670,5.3744,2.3183
16,7233,5.5929,2.3649
17,6885,5.0524,2.2477
18,6452,6.2416,2.4983
19,6055,6.5849,2.5661
20,5555,6.6592,2.5805
21,5125,7.9374,2.8173
22,4791,8.3333,2.8868
23,4434,8.6832,2.9467
24,4112,10.7718,3.2820
25,3811,9.9993,3.1622
26,3630,10.9443,3.3082
27,3327,11.9000,3.4496
28,3195,12.6005,3.5497
29,3012,14.1566,3.7625
30,2806,14.2187,3.7708
31,2687,16.6489,4.0803
32,2565,16.7916,4.0978
33,2476,18.1611,4.2616
34,2375,20.0303,4.4755
35,2198,18.8849,4.3457
36,2298,20.1699,4.4911
37,2117,23.3466,4.8318
38,2021,23.0364,4.7996
39,1983,23.0024,4.7961
40,1970,25.2702,5.0269
41,1866,26.7808,5.1750
42,1893,28.1270,5.3035
43,1837,26.3176,5.1301
44,1749,32.5772,5.7076
45,1696,31.4186,5.6052
46,1651,32.2606,5.6798
47,1587,32.1362,5.6689
48,1499,38.5836,6.2116
49,1444,40.6337,6.3745
50,1393,42.3516,6.5078
51,1362,40.3799,6.3545
52,1319,39.5623,6.2899
53,1274,45.8855,6.7739
54,1229,45.4669,6.7429
55,1166,51.9583,7.2082
56,1173,43.9979,6.6331
57,1097,49.0000,7.0000
58,1101,49.6278,7.0447
59,1061,54.6208,7.3906
60,1038,42.5437,6.5226
61,955,48.4004,6.9570
62,959,49.2281,7.0163
63,1003,60.4187,7.7729
64,930,63.8827,7.9927
65,911,65.3114,8.0815
66,838,70.5034,8.3966
67,822,54.9801,7.4149
68,819,76.8287,8.7652
69,781,68.6600,8.2861
70,707,70.3971,8.3903
71,756,77.2219,8.7876
72,745,74.2099,8.6145
73,726,67.7073,8.2284
74,606,71.0580,8.4296
75,655,70.9016,8.4203
76,653,71.8149,8.4744
77,625,77.0748,8.7792
78,621,84.7258,9.2047
79,593,85.5118,9.2473
80,612,78.6600,8.8690
81,571,94.5933,9.7259
82,556,120.4916,10.9769
83,502,94.2183,9.7066
84,550,99.7659,9.9883
85,562,103.3267,10.1650
86,504,94.1415,9.7027
87,477,101.0156,10.0507
88,479,107.6933,10.3775
89,451,86.4259,9.2966
90,478,113.3177,10.6451
91,448,116.2688,10.7828
92,448,114.3169,10.6919
93,421,112.8190,10.6216
94,428,101.7272,10.0860
95,389,114.7097,10.7103
96,400,122.7647,11.0799
97,379,120.2671,10.9666
98,419,104.6083,10.2278
99,328,104.2268,10.2092
100,340,126.9644,11.2678
101,353,133.8689,11.5702
102,328,109.8590,10.4814
103,363,150.2559,12.2579
104,337,143.0074,11.9586
105,325,133.2298,11.5425
106,318,127.6209,11.2969
107,313,151.9440,12.3266
108,278,118.7058,10.8952
109,280,144.2254,12.0094
110,268,138.3544,11.7624
111,271,153.0114,12.3698
112,248,208.6390,14.4443
113,239,160.2380,12.6585
114,235,151.4603,12.3069
115,228,125.8917,11.2201
116,240,160.6908,12.6764
117,220,175.5872,13.2509
118,256,153.2670,12.3801
119,235,171.8422,13.1089
120,211,135.1974,11.6274
121,222,150.2132,12.2562
122,208,172.5000,13.1339
123,192,179.2951,13.3901
124,164,149.3224,12.2198
125,179,209.8924,14.4877
126,201,136.4303,11.6803
127,157,178.9835,13.3785
128,179,178.5455,13.3621
129,186,234.3206,15.3075
130,171,173.0139,13.1535
131,166,188.5925,13.7329
132,168,251.4878,15.8584
133,157,198.5739,14.0916
134,162,152.4670,12.3478
135,133,227.5171,15.0837
136,128,209.5273,14.4751
137,134,166.9074,12.9193
138,123,183.5274,13.5472
139,119,225.0012,15.0000
140,116,183.8760,13.5601
141,126,158.5228,12.5906
142,110,204.5987,14.3038
143,108,235.2785,15.3388
144,127,187.5081,13.6934
145,102,181.3365,13.4661
146,123,223.5657,14.9521
147,102,130.5998,11.4280
148,97,256.6524,16.0204
149,93,219.2441,14.8069
150,103,238.0575,15.4291
151,84,363.6287,19.0691
152,89,209.6973,14.4809
153,78,282.9678,16.8216
154,94,252.6790,15.8959
155,81,188.4630,13.7282
156,76,325.6681,18.0463
157,72,189.3239,13.7595
158,68,227.3034,15.0766
159,63,302.2177,17.3844
160,77,255.7048,15.9908
161,66,233.8147,15.2910
162,61,207.1846,14.3939
163,56,439.4793,20.9638
164,57,188.0856,13.7144
165,57,194.6137,13.9504
166,51,469.2580,21.6624
167,57,181.4183,13.4692
168,53,259.4931,16.1088
169,46,299.9546,17.3192
170,58,265.0586,16.2806
171,52,237.0399,15.3961
172,55,348.2334,18.6610
173,53,190.9092,13.8170
174,44,364.8693,19.1016
175,47,342.1593,18.4975
176,36,614.0247,24.7795
177,44,444.3781,21.0803
178,34,358.8521,18.9434
179,38,231.7978,15.2249
180,48,446.1250,21.1217
181,48,161.2600,12.6988
182,31,219.7648,14.8245
183,37,338.7027,18.4039
184,37,383.2432,19.5766
185,36,473.5764,21.7618
186,42,452.5969,21.2743
187,29,376.3734,19.4003
188,38,280.6157,16.7516
189,36,398.4136,19.9603
190,30,401.1822,20.0295
191,29,260.7301,16.1471
192,22,390.5806,19.7631
193,25,216.0704,14.6993
194,30,448.2622,21.1722
195,21,692.2449,26.3105
196,26,413.1775,20.3268
197,24,394.4983,19.8620
198,18,565.0000,23.7697
199,32,551.0898,23.4753
200,25,538.2784,23.2008
201,26,299.2500,17.2988
202,22,411.7769,20.2923
203,21,423.3787,20.5762
204,20,409.3875,20.2333
205,23,394.2798,19.8565
206,21,519.7279,22.7975
207,14,384.9796,19.6209
208,18,761.1389,27.5887
209,13,302.1302,17.3819
210,11,191.1405,13.8254
211,14,490.1429,22.1392
212,15,833.2889,28.8667
213,16,289.5625,17.0165
214,16,471.0898,21.7046
215,23,589.4556,24.2787
216,20,824.8475,28.7202
217,19,646.2493,25.4214
218,15,656.6222,25.6246
219,10,749.2400,27.3722
220,18,262.3333,16.1967
221,19,939.1911,30.6462
222,16,755.8594,27.4929
223,21,425.6644,20.6316
224,14,539.2500,23.2218
225,7,697.3878,26.4081
226,14,281.3724,16.7742
227,10,713.0400,26.7028
228,18,587.0525,24.2292
229,13,207.9763,14.4214
230,10,612.5600,24.7499
231,8,110.4375,10.5089
232,10,499.8900,22.3582
233,12,259.5764,16.1114
234,14,713.6939,26.7150
235,16,1031.8750,32.1228
236,18,766.8056,27.6913
237,8,534.1875,23.1125
238,11,569.8678,23.8719
239,10,164.8400,12.8390
240,10,912.8000,30.2126
241,15,243.9289,15.6182
242,10,258.2400,16.0698
243,5,990.6400,31.4744
244,7,929.9184,30.4946
245,6,939.2222,30.6467
246,10,785.8100,28.0323
247,9,1415.1111,37.6180
248,6,1715.3333,41.4166
249,6,89.2222,9.4458
250,10,928.2400,30.4670
251,7,200.6939,14.1666
252,9,1005.7778,31.7140
253,9,496.6914,22.2866
254,8,563.9375,23.7474
255,14,742.8827,27.2559
256,2,72.2500,8.5000
257,6,235.3333,15.3406
