Upara,Num_Pels,Variance,Deviation
0,0, , 
1,0, , 
2,0, , 
3,0, , 
4,0, , 
5,2,0.2500,0.5000
6,2,2.2500,1.5000
7,6,3.8056,1.9508
8,4,5.1875,2.2776
9,11,11.0579,3.3253
10,17,13.4048,3.6613
11,30,12.2322,3.4975
12,41,9.7668,3.1252
13,58,9.1656,3.0275
14,93,9.7329,3.1198
15,135,14.7488,3.8404
16,183,12.1187,3.4812
17,237,13.8615,3.7231
18,302,15.7742,3.9717
19,368,15.3625,3.9195
20,442,18.7445,4.3295
21,590,16.1686,4.0210
22,637,16.1202,4.0150
23,766,18.2881,4.2765
24,847,18.6214,4.3152
25,981,18.7715,4.3326
26,1042,18.5302,4.3047
27,1154,23.7803,4.8765
28,1219,19.4593,4.4113
29,1325,21.9991,4.6903
30,1439,21.9681,4.6870
31,1590,22.8659,4.7818
32,1641,24.1958,4.9189
33,1700,24.0469,4.9038
34,1703,25.8847,5.0877
35,1801,25.4953,5.0493
36,1771,25.9833,5.0974
37,1847,25.3995,5.0398
38,1939,29.3074,5.4136
39,1961,28.5721,5.3453
40,1968,30.4510,5.5182
41,1937,31.9372,5.6513
42,2024,31.3541,5.5995
43,2006,31.6714,5.6277
44,2036,33.4002,5.7793
45,1896,35.2836,5.9400
46,1948,36.6525,6.0541
47,1947,37.4874,6.1227
48,1951,36.1879,6.0156
49,1980,38.7500,6.2249
50,1937,40.6063,6.3723
51,1974,40.5664,6.3692
52,1895,43.5179,6.5968
53,1873,42.9143,6.5509
54,1814,42.4047,6.5119
55,1793,47.9506,6.9246
56,1772,49.5840,7.0416
57,1874,54.8543,7.4064
58,1719,52.6167,7.2537
59,1716,53.8324,7.3371
60,1684,56.0118,7.4841
61,1667,56.2453,7.4997
62,1655,59.2095,7.6948
63,1607,61.9982,7.8739
64,1600,66.0848,8.1293
65,1600,59.2329,7.6963
66,1535,69.6662,8.3466
67,1584,69.8459,8.3574
68,1573,84.3472,9.1841
69,1424,68.0728,8.2506
70,1423,75.1609,8.6695
71,1461,83.7588,9.1520
72,1443,90.5905,9.5179
73,1509,90.1582,9.4952
74,1347,86.3435,9.2921
75,1412,89.3397,9.4520
76,1374,94.5969,9.7261
77,1363,86.8299,9.3183
78,1297,99.3382,9.9669
79,1358,105.2054,10.2570
80,1324,99.2927,9.9646
81,1327,114.8028,10.7146
82,1302,104.2100,10.2083
83,1345,111.4553,10.5572
84,1255,120.3287,10.9694
85,1183,115.6944,10.7561
86,1279,112.7871,10.6201
87,1270,106.4346,10.3167
88,1258,128.7496,11.3468
89,1200,129.3350,11.3726
90,1164,133.7249,11.5639
91,1213,137.6090,11.7307
92,1184,143.1698,11.9654
93,1141,149.8436,12.2411
94,1166,140.3575,11.8473
95,1076,142.6207,11.9424
96,1149,144.2290,12.0095
97,1171,151.3960,12.3043
98,1140,150.4611,12.2663
99,1141,147.2996,12.1367
100,1079,180.5082,13.4353
101,1080,163.5566,12.7889
102,1118,160.1464,12.6549
103,1076,161.7069,12.7164
104,1085,170.7963,13.0689
105,1077,196.3669,14.0131
106,1015,190.0196,13.7848
107,1081,196.8079,14.0288
108,1040,183.4288,13.5436
109,1104,192.3671,13.8696
110,1074,202.7600,14.2394
111,1077,193.0679,13.8949
112,1069,179.7434,13.4068
113,1012,202.8926,14.2440
114,1033,195.5630,13.9844
115,1060,202.7422,14.2388
116,1065,195.9908,13.9997
117,990,208.0389,14.4236
118,1067,206.2025,14.3598
119,1056,214.5543,14.6477
120,1004,206.0404,14.3541
121,1035,226.1667,15.0388
122,965,229.0551,15.1346
123,979,241.9884,15.5560
124,1025,225.4049,15.0135
125,1011,229.9047,15.1626
126,1060,245.5111,15.6688
127,999,243.1538,15.5934
128,925,261.7984,16.1802
129,954,228.1963,15.1062
130,944,268.0116,16.3711
131,957,261.8868,16.1829
132,972,249.8630,15.8071
133,982,283.2575,16.8303
134,974,270.6111,16.4503
135,1023,282.0843,16.7954
136,910,272.4280,16.5054
137,917,269.4164,16.4139
138,999,290.2766,17.0375
139,1001,293.3293,17.1269
140,971,318.6370,17.8504
141,970,281.7009,16.7839
142,880,278.8325,16.6983
143,937,306.0851,17.4953
144,952,290.5924,17.0468
145,940,283.2088,16.8288
