Upara,Num_Pels,Variance,Deviation
0,3688,0.3189,0.5647
1,4611,0.4794,0.6924
2,6902,0.8096,0.8998
3,11797,1.1225,1.0595
4,19120,1.4385,1.1994
5,27364,1.4670,1.2112
6,33967,1.5673,1.2519
7,38153,1.6828,1.2972
8,39012,1.7902,1.3380
9,37427,1.9720,1.4043
10,33438,2.1144,1.4541
11,29456,2.2494,1.4998
12,24534,2.3669,1.5385
13,20232,2.6790,1.6368
14,16324,2.8346,1.6836
15,13044,3.1078,1.7629
16,10175,3.1372,1.7712
17,8130,3.5878,1.8941
18,6355,4.2215,2.0546
19,5036,4.3874,2.0946
20,3890,4.9101,2.2159
21,3046,5.6754,2.3823
22,2544,5.7327,2.3943
23,2001,6.1924,2.4885
24,1631,6.3653,2.5230
25,1292,7.9559,2.8206
26,1144,8.4740,2.9110
27,999,9.0668,3.0111
28,832,10.6295,3.2603
29,702,12.6347,3.5545
30,599,15.1649,3.8942
31,526,13.1264,3.6230
32,494,16.5644,4.0699
33,409,15.0609,3.8808
34,407,14.4766,3.8048
35,326,19.0257,4.3618
36,327,17.3487,4.1652
37,271,14.9388,3.8651
38,270,26.6609,5.1634
39,242,43.8021,6.6183
40,193,16.1531,4.0191
41,210,27.5247,5.2464
42,184,26.9310,5.1895
43,167,48.6899,6.9778
44,148,43.1269,6.5671
45,120,41.8160,6.4665
46,137,26.7696,5.1739
47,127,24.3863,4.9382
48,123,22.6525,4.7595
49,94,21.9720,4.6874
50,110,33.8665,5.8195
51,98,39.6327,6.2954
52,95,35.5253,5.9603
53,73,65.3395,8.0833
54,68,45.4193,6.7394
55,91,51.4344,7.1718
56,60,68.4275,8.2721
57,70,53.5339,7.3167
58,62,56.8463,7.5396
59,68,52.3010,7.2319
60,69,63.6812,7.9800
61,54,115.9523,10.7681
62,64,51.0076,7.1420
63,74,48.7935,6.9852
64,52,65.5429,8.0959
65,38,77.9342,8.8280
66,35,49.8286,7.0589
67,43,37.8010,6.1482
68,45,40.9877,6.4022
69,45,94.0444,9.6977
70,32,40.1943,6.3399
71,32,74.4023,8.6257
72,45,84.7388,9.2054
73,39,97.3702,9.8676
74,22,151.4215,12.3053
75,30,104.8767,10.2409
76,37,96.2732,9.8119
77,25,171.8784,13.1102
78,32,85.6250,9.2534
79,36,154.9969,12.4498
80,22,119.7624,10.9436
81,30,237.6622,15.4163
82,33,114.8558,10.7171
83,23,114.5936,10.7048
84,25,95.6576,9.7805
85,25,61.4976,7.8420
86,18,79.0988,8.8937
87,22,337.9008,18.3821
88,25,118.7264,10.8962
89,17,135.1834,11.6268
90,16,107.5898,10.3726
91,16,141.1875,11.8822
92,15,84.1156,9.1715
93,14,122.5969,11.0724
94,6,101.1389,10.0568
95,21,130.0590,11.4043
96,12,55.5556,7.4536
97,19,252.0388,15.8757
98,6,27.2222,5.2175
99,16,118.0000,10.8628
100,14,46.0663,6.7872
101,13,89.3609,9.4531
102,14,87.0867,9.3320
103,7,371.1020,19.2640
104,12,77.4167,8.7987
105,14,105.1684,10.2552
106,17,175.6609,13.2537
107,14,140.5357,11.8548
108,9,206.8395,14.3819
109,15,76.6222,8.7534
110,8,140.9844,11.8737
111,8,219.8594,14.8277
112,14,131.7755,11.4794
113,7,117.5510,10.8421
114,8,66.2500,8.1394
115,7,93.9184,9.6911
116,6,66.5556,8.1582
117,5,53.3600,7.3048
118,9,50.0000,7.0711
119,9,72.4691,8.5129
120,10,28.8400,5.3703
121,6,95.8056,9.7880
122,5,58.4000,7.6420
123,9,116.8889,10.8115
124,12,138.8889,11.7851
125,6,88.8056,9.4237
126,3,148.6667,12.1929
127,1,0.0000,0.0000
128,5,227.3600,15.0785
129,8,85.4844,9.2458
130,6,83.2222,9.1226
131,4,63.5000,7.9687
132,6,91.1389,9.5467
133,4,129.0000,11.3578
134,6,54.1389,7.3579
135,6,353.8889,18.8119
136,6,60.4722,7.7764
137,6,102.8056,10.1393
138,3,90.8889,9.5336
139,7,46.1224,6.7914
140,5,116.2400,10.7815
141,5,51.3600,7.1666
142,2,20.2500,4.5000
143,6,163.3333,12.7802
144,3,49.5556,7.0396
145,5,45.3600,6.7350
146,3,0.8889,0.9428
147,7,129.8367,11.3946
148,4,42.1875,6.4952
149,1,0.0000,0.0000
150,6,305.0000,17.4642
151,0, , 
152,2,12.2500,3.5000
153,3,266.6667,16.3299
154,4,123.1875,11.0990
155,3,72.2222,8.4984
156,5,229.8400,15.1605
157,4,102.2500,10.1119
158,0, , 
159,2,1.0000,1.0000
160,1,0.0000,0.0000
161,4,83.1875,9.1207
162,2,100.0000,10.0000
163,4,39.1875,6.2600
164,0, , 
165,1,0.0000,0.0000
166,3,72.0000,8.4853
167,0, , 
168,2,49.0000,7.0000
169,2,2.2500,1.5000
170,3,42.8889,6.5490
171,1,0.0000,0.0000
172,1,0.0000,0.0000
173,1,0.0000,0.0000
174,1,0.0000,0.0000
175,0, , 
176,1,0.0000,0.0000
177,1,0.0000,0.0000
178,1,0.0000,0.0000
179,1,0.0000,0.0000
180,0, , 
181,1,0.0000,0.0000
182,0, , 
183,0, , 
184,1,0.0000,0.0000
185,4,2224.1875,47.1613
186,0, , 
187,1,0.0000,0.0000
188,1,0.0000,0.0000
189,1,0.0000,0.0000
190,0, , 
191,0, , 
192,1,0.0000,0.0000
193,1,0.0000,0.0000
194,1,0.0000,0.0000
195,1,0.0000,0.0000
196,0, , 
197,2,16.0000,4.0000
198,0, , 
199,0, , 
200,2,25.0000,5.0000
201,2,81.0000,9.0000
202,0, , 
203,1,0.0000,0.0000
204,0, , 
205,0, , 
206,0, , 
207,0, , 
208,0, , 
209,0, , 
210,0, , 
211,0, , 
212,0, , 
213,0, , 
214,0, , 
215,4,197.1875,14.0423
216,1,0.0000,0.0000
217,0, , 
218,0, , 
219,0, , 
220,0, , 
221,0, , 
222,0, , 
223,0, , 
224,0, , 
225,0, , 
226,1,0.0000,0.0000
227,2,1.0000,1.0000
228,0, , 
229,1,0.0000,0.0000
230,0, , 
231,1,0.0000,0.0000
232,0, , 
233,0, , 
234,0, , 
235,0, , 
