Upara,Num_Pels,Variance,Deviation
0,2329,0.2294,0.4790
1,1721,0.3223,0.5677
2,1367,0.4890,0.6993
3,933,0.8394,0.9162
4,795,1.4929,1.2218
5,1003,2.7005,1.6433
6,1645,3.1482,1.7743
7,2688,3.3459,1.8292
8,4077,3.7313,1.9316
9,5740,3.8608,1.9649
10,7667,3.9511,1.9877
11,9496,4.0704,2.0175
12,11215,4.4069,2.0993
13,12587,4.5676,2.1372
14,13465,4.9140,2.2168
15,13769,5.2294,2.2868
16,13970,5.2630,2.2941
17,13928,5.7809,2.4044
18,13822,6.1757,2.4851
19,13159,6.8035,2.6083
20,12860,7.2930,2.7006
21,11985,7.5891,2.7548
22,11617,8.5096,2.9171
23,11045,9.0923,3.0154
24,10437,9.4902,3.0806
25,9880,10.2994,3.2093
26,9615,11.5998,3.4058
27,8868,11.5048,3.3919
28,8674,12.5115,3.5372
29,8473,12.8200,3.5805
30,7827,14.1002,3.7550
31,7441,14.6465,3.8271
32,6977,15.0090,3.8741
33,6728,16.1953,4.0243
34,6438,18.7668,4.3321
35,6224,17.4242,4.1742
36,5851,17.7537,4.2135
37,5456,18.3799,4.2872
38,5231,21.1363,4.5974
39,4984,21.8715,4.6767
40,4744,22.0023,4.6907
41,4413,22.5020,4.7436
42,4201,23.3693,4.8342
43,4022,22.9352,4.7891
44,3938,25.7187,5.0714
45,3633,25.5496,5.0547
46,3389,26.9184,5.1883
47,3232,28.7228,5.3594
48,3116,29.4988,5.4313
49,2930,32.6331,5.7125
50,2841,33.9155,5.8237
51,2531,29.6713,5.4471
52,2508,36.0595,6.0050
53,2427,34.9931,5.9155
54,2257,37.3253,6.1094
55,2147,37.5460,6.1275
56,2053,36.3021,6.0251
57,1928,41.0169,6.4044
58,1919,39.8726,6.3145
59,1751,42.6920,6.5339
60,1653,44.9351,6.7034
61,1577,45.4247,6.7398
62,1629,51.1464,7.1517
63,1416,48.7382,6.9813
64,1371,47.9620,6.9255
65,1291,59.3614,7.7046
66,1278,53.5244,7.3160
67,1206,51.0183,7.1427
68,1176,55.3803,7.4418
69,1138,54.2224,7.3636
70,1076,55.6823,7.4621
71,990,58.6145,7.6560
72,1010,61.9303,7.8696
73,911,59.9317,7.7416
74,855,69.7585,8.3522
75,866,68.3295,8.2662
76,794,69.7588,8.3522
77,827,71.2578,8.4414
78,768,74.7977,8.6486
79,707,71.7120,8.4683
80,699,71.1396,8.4344
81,647,70.9307,8.4220
82,607,76.9505,8.7721
83,651,74.7495,8.6458
84,615,84.7713,9.2071
85,553,82.3005,9.0720
86,522,72.3042,8.5032
87,544,89.5084,9.4609
88,471,79.2269,8.9009
89,507,91.7716,9.5798
90,469,86.4605,9.2984
91,451,91.8357,9.5831
92,437,89.6994,9.4710
93,427,105.0123,10.2476
94,414,109.3322,10.4562
95,385,110.0089,10.4885
96,335,103.9500,10.1956
97,304,103.4269,10.1699
98,351,100.8806,10.0439
99,321,111.8456,10.5757
100,319,99.2961,9.9647
101,308,98.7588,9.9377
102,319,107.5198,10.3692
103,285,115.5619,10.7500
104,314,121.5277,11.0240
105,262,115.8637,10.7640
106,275,115.0641,10.7268
107,256,120.7019,10.9864
108,216,142.4578,11.9356
109,247,127.0004,11.2694
110,202,139.1392,11.7957
111,216,139.0648,11.7926
112,206,122.1213,11.0509
113,178,120.9744,10.9988
114,191,117.1347,10.8229
115,208,117.6409,10.8462
116,150,152.1720,12.3358
117,167,130.4704,11.4224
118,165,174.1283,13.1958
119,169,131.2440,11.4562
120,165,178.1818,13.3485
121,154,131.0088,11.4459
122,154,149.5708,12.2299
123,137,145.3763,12.0572
124,138,121.5675,11.0258
125,131,189.9359,13.7817
126,133,193.7344,13.9189
127,132,180.2367,13.4252
128,135,134.7537,11.6083
129,119,158.7384,12.5991
130,135,141.0351,11.8758
131,115,124.8950,11.1756
132,120,185.7833,13.6302
133,105,169.8362,13.0321
134,124,169.9794,13.0376
135,103,196.7908,14.0282
136,103,176.2262,13.2750
137,107,184.9610,13.6000
138,100,148.2456,12.1756
139,87,184.0581,13.5668
140,81,155.4013,12.4660
141,91,204.8724,14.3134
142,83,142.8036,11.9500
143,69,226.2474,15.0415
144,81,201.6180,14.1992
145,59,219.9937,14.8322
