Upara,Num_Pels,Variance,Deviation
0,241,0.6885,0.8298
1,589,0.6056,0.7782
2,1125,1.7829,1.3353
3,1301,0.7283,0.8534
4,1358,0.9164,0.9573
5,1201,1.3712,1.1710
6,1142,1.9930,1.4117
7,1273,2.3994,1.5490
8,1416,3.0436,1.7446
9,1693,2.9946,1.7305
10,1934,5.0372,2.2444
11,2203,5.0719,2.2521
12,2311,3.7076,1.9255
13,2472,4.3705,2.0906
14,2375,4.0903,2.0225
15,2311,5.9210,2.4333
16,2148,4.7423,2.1777
17,1979,6.6505,2.5789
18,1785,4.4705,2.1144
19,1505,9.0503,3.0084
20,1196,7.3290,2.7072
21,1088,8.0075,2.8298
22,918,9.7917,3.1292
23,774,7.1789,2.6793
24,655,9.1504,3.0250
25,563,10.5980,3.2555
26,496,12.6042,3.5502
27,464,10.0618,3.1720
28,467,12.2280,3.4969
29,398,19.6657,4.4346
30,370,16.2351,4.0293
31,335,20.1663,4.4907
32,285,37.3012,6.1075
33,329,25.8727,5.0865
34,302,26.8912,5.1857
35,282,31.9206,5.6498
36,285,31.6801,5.6285
37,265,20.9364,4.5756
38,281,60.8977,7.8037
39,290,39.0839,6.2517
40,276,36.8420,6.0698
41,268,37.7218,6.1418
42,236,40.3061,6.3487
43,231,75.1103,8.6666
44,248,33.8749,5.8202
45,222,63.6631,7.9789
46,231,34.8287,5.9016
47,207,96.4562,9.8212
48,226,46.9632,6.8530
49,217,36.6822,6.0566
50,204,50.1795,7.0838
51,208,46.0138,6.7834
52,219,35.1499,5.9287
53,205,48.4327,6.9594
54,215,49.0900,7.0064
55,173,65.9795,8.1228
56,195,46.9569,6.8525
57,198,65.8413,8.1143
58,176,227.1121,15.0702
59,200,45.7158,6.7613
60,194,106.2713,10.3088
61,185,89.6618,9.4690
62,168,80.2052,8.9557
63,171,71.6607,8.4653
64,151,112.7766,10.6196
65,163,92.1344,9.5987
66,164,79.9764,8.9429
67,168,105.6102,10.2767
68,161,268.2749,16.3791
69,151,99.4222,9.9711
70,156,157.4310,12.5471
71,174,160.3899,12.6645
72,154,95.1228,9.7531
73,160,115.1621,10.7314
74,160,106.1537,10.3031
75,151,106.3865,10.3144
76,151,134.2589,11.5870
77,142,122.8794,11.0851
78,142,134.2984,11.5887
79,161,115.1427,10.7305
80,155,162.0370,12.7294
81,142,154.6083,12.4342
82,138,152.0628,12.3314
83,137,123.2267,11.1008
84,151,148.1735,12.1727
85,150,96.6873,9.8330
86,133,142.1812,11.9240
87,140,132.7128,11.5201
88,154,201.3716,14.1905
89,131,94.8010,9.7366
90,116,196.4845,14.0173
91,133,122.4551,11.0659
92,151,166.3905,12.8992
93,119,103.9483,10.1955
94,130,224.4495,14.9816
95,130,158.2928,12.5814
96,149,234.7167,15.3205
97,133,184.0442,13.5663
98,118,141.5709,11.8984
99,116,160.0407,12.6507
100,137,213.3999,14.6082
101,144,262.7982,16.2111
102,139,198.5681,14.0914
103,134,169.6343,13.0244
104,127,132.2814,11.5014
105,109,276.3646,16.6242
106,123,254.0545,15.9391
107,131,179.8854,13.4121
108,124,194.0965,13.9319
