Upara,Num_Pels,Variance,Deviation
0,2957,0.1176,0.3429
1,1155,0.5670,0.7530
2,1431,0.6648,0.8154
3,1850,1.5340,1.2386
4,2108,0.8926,0.9448
5,2116,1.2184,1.1038
6,2039,1.4062,1.1858
7,1973,1.7783,1.3335
8,1789,1.9497,1.3963
9,1730,2.3075,1.5191
10,1676,3.0453,1.7451
11,1489,3.6903,1.9210
12,1480,3.3194,1.8219
13,1362,4.1377,2.0341
14,1343,4.6916,2.1660
15,1314,4.7800,2.1863
16,1260,6.1406,2.4780
17,1194,7.1739,2.6784
18,1147,7.3882,2.7181
19,1171,9.6993,3.1144
20,1141,7.8649,2.8044
21,1139,9.2565,3.0425
22,1027,10.3334,3.2146
23,988,12.1253,3.4821
24,1000,9.6686,3.1094
25,966,12.4046,3.5220
26,947,13.3239,3.6502
27,930,14.7925,3.8461
28,848,13.9033,3.7287
29,831,15.0935,3.8850
30,830,14.8554,3.8543
31,804,14.5196,3.8105
32,718,20.0494,4.4777
33,769,18.7361,4.3285
34,770,21.5665,4.6440
35,691,22.3696,4.7297
36,693,23.1984,4.8165
37,670,26.9722,5.1935
38,637,22.8489,4.7801
39,620,28.1748,5.3080
40,587,25.6357,5.0632
41,560,25.3536,5.0352
42,530,34.0815,5.8379
43,499,28.1307,5.3038
44,536,28.1114,5.3020
45,522,26.1042,5.1092
46,449,29.8222,5.4610
47,444,30.5289,5.5253
48,392,33.9503,5.8267
49,421,30.3008,5.5046
50,370,38.5449,6.2085
51,358,54.5335,7.3847
52,344,33.6309,5.7992
53,360,29.4410,5.4260
54,300,47.6417,6.9023
55,284,41.3607,6.4312
56,293,47.3721,6.8827
57,273,50.3505,7.0958
58,249,53.1740,7.2920
59,251,40.3891,6.3552
60,237,47.0600,6.8600
61,223,39.4561,6.2814
62,229,50.3387,7.0950
63,241,58.3481,7.6386
64,196,93.3064,9.6595
65,211,50.3947,7.0989
66,185,74.2929,8.6193
67,177,51.7741,7.1954
68,181,63.2240,7.9514
69,137,48.6860,6.9775
70,188,66.1555,8.1336
71,160,69.1609,8.3163
72,163,56.5842,7.5222
73,127,64.2966,8.0185
74,146,102.8268,10.1404
75,123,62.3658,7.8972
76,113,60.5905,7.7840
77,130,92.8502,9.6359
78,120,66.8264,8.1747
79,141,105.9557,10.2935
80,105,65.5447,8.0960
81,91,95.9906,9.7975
82,106,182.9754,13.5268
83,102,102.2450,10.1116
84,91,77.3701,8.7960
