Upara,Num_Pels,Variance,Deviation
0,7917,0.6824,0.8261
1,500,0.5058,0.7112
2,502,1.0366,1.0181
3,524,1.6680,1.2915
4,648,1.8782,1.3705
5,1034,2.3873,1.5451
6,1515,2.5715,1.6036
7,1963,2.8113,1.6767
8,2469,2.8915,1.7004
9,3212,3.5830,1.8929
10,3669,3.5321,1.8794
11,4098,4.2521,2.0621
12,4382,4.6694,2.1609
13,4875,5.0860,2.2552
14,5233,5.6969,2.3868
15,5467,7.4466,2.7288
16,5656,7.4655,2.7323
17,5949,7.3515,2.7114
18,6171,8.3268,2.8856
19,6594,8.9130,2.9855
20,6830,9.6883,3.1126
21,7062,10.3083,3.2107
22,7262,10.7994,3.2862
23,7620,12.0298,3.4684
24,7639,12.2565,3.5009
25,7770,12.7579,3.5718
26,7962,13.5658,3.6832
27,7938,14.7067,3.8349
28,7948,15.1677,3.8946
29,8051,15.7138,3.9641
30,7978,16.0511,4.0064
31,8051,17.0587,4.1302
32,7976,17.4968,4.1829
33,7692,18.2111,4.2674
34,7568,19.4433,4.4095
35,7379,19.4820,4.4138
36,7358,20.7174,4.5516
37,7139,21.2917,4.6143
38,6890,22.7537,4.7701
39,6741,23.9046,4.8892
40,6749,24.3307,4.9326
41,6419,25.4984,5.0496
42,6189,25.4422,5.0440
43,5930,27.3864,5.2332
44,5792,27.6147,5.2550
45,5602,30.1000,5.4864
46,5371,28.6605,5.3535
47,5285,32.2195,5.6762
48,4959,32.5146,5.7022
49,4868,34.5135,5.8748
50,4700,34.3367,5.8598
51,4361,36.3500,6.0291
52,4257,39.5810,6.2913
53,4222,39.5315,6.2874
54,4163,40.8003,6.3875
55,3940,41.9293,6.4753
56,3749,42.4978,6.5190
57,3582,42.0655,6.4858
58,3450,42.8261,6.5442
59,3357,45.1347,6.7182
60,3302,44.7876,6.6924
61,3162,51.1101,7.1491
62,3073,49.7151,7.0509
63,2949,48.8265,6.9876
64,2911,51.4166,7.1705
65,2720,52.3517,7.2354
66,2590,55.3932,7.4427
67,2579,57.1678,7.5609
68,2450,59.6681,7.7245
69,2394,63.5348,7.9709
70,2265,61.4909,7.8416
71,2148,66.4072,8.1491
72,2088,55.0868,7.4221
73,2042,62.5471,7.9087
74,1981,67.2925,8.2032
75,1885,75.2974,8.6774
76,1856,73.0150,8.5449
77,1880,66.0897,8.1296
78,1800,67.1061,8.1918
79,1634,77.7852,8.8196
80,1568,73.1360,8.5520
81,1532,74.3467,8.6225
82,1479,82.3017,9.0720
83,1476,85.8604,9.2661
84,1425,89.8827,9.4806
85,1360,84.3559,9.1845
86,1290,77.4621,8.8013
87,1171,83.0078,9.1109
88,1124,92.4139,9.6132
89,1140,91.8301,9.5828
90,1060,96.5257,9.8247
91,1105,94.5565,9.7240
92,1049,95.6980,9.7825
93,975,92.2786,9.6062
94,966,107.0624,10.3471
95,940,102.7748,10.1378
96,928,97.4572,9.8720
97,884,108.2723,10.4054
98,862,107.9918,10.3919
99,795,107.8190,10.3836
100,756,111.8602,10.5764
101,765,101.8500,10.0921
102,736,121.0583,11.0027
103,710,115.7558,10.7590
104,665,122.4548,11.0659
105,637,126.8275,11.2618
106,645,109.2956,10.4545
107,666,117.7029,10.8491
108,606,131.9975,11.4890
109,581,116.9669,10.8151
110,540,130.2520,11.4128
111,529,127.2293,11.2796
112,504,123.6609,11.1203
113,451,122.9323,11.0875
114,469,142.3309,11.9303
115,488,136.9402,11.7021
116,422,127.3192,11.2836
117,416,152.5360,12.3505
118,410,123.7404,11.1239
119,396,144.4566,12.0190
120,382,140.0441,11.8340
121,414,142.4743,11.9363
122,370,153.8638,12.4042
123,331,133.0524,11.5348
124,318,153.5337,12.3909
125,305,143.2517,11.9688
126,327,145.0257,12.0427
127,294,135.3583,11.6344
128,299,152.4246,12.3460
129,263,170.8358,13.0704
130,255,143.7425,11.9893
131,284,166.2250,12.8928
132,259,172.9441,13.1508
133,253,189.2259,13.7559
134,222,151.1448,12.2941
135,212,174.8824,13.2243
136,222,141.9488,11.9142
137,209,180.0776,13.4193
138,211,181.2019,13.4611
139,193,173.0023,13.1530
140,198,194.8827,13.9600
141,201,213.8303,14.6229
142,196,210.3855,14.5047
143,156,165.7742,12.8753
144,184,149.9128,12.2439
145,171,194.5097,13.9467
146,158,181.4133,13.4690
147,171,228.1476,15.1046
148,135,183.1773,13.5343
149,152,171.7720,13.1062
150,131,181.7502,13.4815
151,143,220.2790,14.8418
152,132,233.8726,15.2929
153,126,226.9002,15.0632
154,123,213.9742,14.6279
155,149,185.0058,13.6017
156,125,235.4240,15.3435
157,135,199.0740,14.1094
158,108,204.0154,14.2834
159,103,291.8185,17.0827
160,121,201.7900,14.2053
161,94,271.4880,16.4769
162,83,167.1526,12.9287
163,112,222.5599,14.9184
164,111,224.9322,14.9977
165,68,166.4888,12.9031
166,78,249.2434,15.7874
167,73,246.5934,15.7033
168,74,229.1952,15.1392
169,77,238.1413,15.4318
170,73,217.1045,14.7345
171,74,298.8380,17.2869
172,95,222.7109,14.9235
173,53,254.1153,15.9410
174,55,241.7607,15.5487
175,75,250.0889,15.8142
176,67,320.8813,17.9132
177,74,187.9196,13.7084
178,75,272.7022,16.5137
179,60,188.4475,13.7276
180,54,269.1481,16.4057
181,66,270.2222,16.4384
182,47,282.1838,16.7983
183,46,317.7221,17.8248
184,56,388.2242,19.7034
185,50,292.0400,17.0892
186,57,304.9628,17.4632
187,43,163.1769,12.7741
188,44,170.8280,13.0701
189,45,186.3388,13.6506
190,34,287.8106,16.9650
191,45,280.2588,16.7409
192,45,299.2425,17.2986
193,41,235.4396,15.3440
194,44,279.3326,16.7132
195,50,303.5556,17.4228
196,42,377.2137,19.4220
197,25,312.5856,17.6801
198,34,317.0035,17.8046
199,28,347.0344,18.6289
200,34,291.8971,17.0850
201,25,301.4656,17.3628
202,28,286.2895,16.9201
203,32,409.0625,20.2253
204,25,171.7600,13.1057
205,27,210.8176,14.5196
206,26,238.3609,15.4389
207,15,361.9822,19.0258
208,21,305.2834,17.4724
209,24,383.5556,19.5846
210,23,377.9546,19.4411
211,27,533.8957,23.1062
212,11,144.9091,12.0378
213,18,282.7562,16.8154
214,15,249.0667,15.7818
215,21,549.6780,23.4452
216,24,209.5556,14.4760
217,15,637.7156,25.2530
218,23,250.5860,15.8299
219,22,194.2996,13.9391
220,20,238.8475,15.4547
221,13,164.0000,12.8062
222,20,762.0275,27.6048
223,20,152.0275,12.3299
224,11,598.5620,24.4655
225,13,412.2249,20.3033
226,14,642.2092,25.3418
227,12,241.8333,15.5510
228,7,64.2857,8.0178
229,13,647.6331,25.4486
230,13,385.7160,19.6397
231,13,464.2367,21.5462
232,14,321.6786,17.9354
233,8,448.1094,21.1686
234,18,125.6173,11.2079
235,15,355.0489,18.8427
236,13,299.7515,17.3133
237,11,386.5124,19.6599
238,15,749.8933,27.3842
239,10,419.0100,20.4697
240,10,270.8000,16.4560
241,8,293.4844,17.1314
242,9,996.3951,31.5657
243,11,683.6033,26.1458
244,8,230.3594,15.1776
245,11,271.0909,16.4648
246,9,314.2222,17.7263
247,7,613.6327,24.7716
248,7,553.1020,23.5181
249,7,836.4082,28.9207
250,4,731.5000,27.0463
251,12,430.1875,20.7410
252,7,188.4082,13.7262
253,7,761.1020,27.5881
254,12,422.5764,20.5567
255,6,316.8889,17.8014
256,4,775.1875,27.8422
257,7,298.9796,17.2910
258,7,63.7143,7.9821
259,7,229.3878,15.1456
260,4,61.5000,7.8422
261,13,843.2544,29.0388
262,6,429.5556,20.7257
263,4,26.5000,5.1478
264,3,70.2222,8.3799
265,9,736.5432,27.1393
266,3,16.2222,4.0277
267,4,1400.7500,37.4266
268,3,2.6667,1.6330
269,3,124.2222,11.1455
270,4,87.6875,9.3642
271,2,240.2500,15.5000
272,10,878.0900,29.6326
273,6,274.8889,16.5798
274,5,140.4000,11.8491
275,9,664.3951,25.7759
276,3,170.8889,13.0724
277,4,698.2500,26.4244
278,5,912.0000,30.1993
279,4,602.2500,24.5408
280,4,662.1875,25.7330
281,4,447.6875,21.1586
282,1,0.0000,0.0000
283,2,306.2500,17.5000
284,2,462.2500,21.5000
285,4,1661.1875,40.7577
286,4,100.6875,10.0343
287,1,0.0000,0.0000
288,5,223.4400,14.9479
289,1,0.0000,0.0000
290,0, , 
291,2,25.0000,5.0000
292,2,930.2500,30.5000
293,4,2024.2500,44.9917
294,4,29.6875,5.4486
295,4,1581.1875,39.7641
296,3,110.2222,10.4987
297,3,21.5556,4.6428
298,1,0.0000,0.0000
299,2,841.0000,29.0000
300,1,0.0000,0.0000
301,1,0.0000,0.0000
302,3,250.8889,15.8395
303,2,225.0000,15.0000
304,1,0.0000,0.0000
305,2,324.0000,18.0000
306,2,9.0000,3.0000
307,5,186.1600,13.6440
308,1,0.0000,0.0000
309,3,288.6667,16.9902
310,5,447.3600,21.1509
311,1,0.0000,0.0000
312,2,992.2500,31.5000
313,4,337.6875,18.3763
314,2,9.0000,3.0000
315,2,16.0000,4.0000
316,3,549.5556,23.4426
317,1,0.0000,0.0000
318,3,1147.5556,33.8756
319,1,0.0000,0.0000
320,1,0.0000,0.0000
321,5,417.0400,20.4216
322,2,30.2500,5.5000
323,0, , 
324,2,462.2500,21.5000
325,2,1892.2500,43.5000
326,0, , 
327,3,1422.8889,37.7212
328,1,0.0000,0.0000
329,3,89.5556,9.4634
330,2,420.2500,20.5000
331,4,1577.2500,39.7146
332,2,196.0000,14.0000
333,0, , 
334,0, , 
335,2,25.0000,5.0000
336,3,64.8889,8.0554
337,1,0.0000,0.0000
338,0, , 
339,1,0.0000,0.0000
340,3,673.5556,25.9529
341,2,256.0000,16.0000
342,0, , 
343,0, , 
344,0, , 
345,2,110.2500,10.5000
346,2,1.0000,1.0000
347,1,0.0000,0.0000
348,0, , 
349,1,0.0000,0.0000
350,2,9.0000,3.0000
351,2,20.2500,4.5000
352,0, , 
353,0, , 
354,1,0.0000,0.0000
355,1,0.0000,0.0000
356,0, , 
357,1,0.0000,0.0000
358,2,1260.2500,35.5000
359,0, , 
360,1,0.0000,0.0000
361,1,0.0000,0.0000
362,0, , 
363,0, , 
364,0, , 
365,2,20.2500,4.5000
366,0, , 
367,0, , 
368,0, , 
369,2,961.0000,31.0000
370,1,0.0000,0.0000
371,0, , 
372,0, , 
373,0, , 
374,0, , 
375,1,0.0000,0.0000
376,0, , 
377,0, , 
378,0, , 
379,3,21.5556,4.6428
380,2,1806.2500,42.5000
381,0, , 
382,1,0.0000,0.0000
383,1,0.0000,0.0000
384,1,0.0000,0.0000
385,1,0.0000,0.0000
386,1,0.0000,0.0000
387,1,0.0000,0.0000
388,0, , 
389,1,0.0000,0.0000
390,1,0.0000,0.0000
391,2,0.0000,0.0000
392,0, , 
393,0, , 
394,0, , 
395,1,0.0000,0.0000
396,3,1277.5556,35.7429
397,1,0.0000,0.0000
398,1,0.0000,0.0000
399,2,900.0000,30.0000
400,0, , 
401,0, , 
402,0, , 
403,0, , 
404,0, , 
405,0, , 
406,0, , 
407,2,702.2500,26.5000
408,0, , 
409,1,0.0000,0.0000
410,1,0.0000,0.0000
411,0, , 
412,0, , 
413,0, , 
414,0, , 
415,1,0.0000,0.0000
416,0, , 
417,0, , 
418,2,256.0000,16.0000
419,0, , 
420,0, , 
421,0, , 
422,0, , 
423,0, , 
424,0, , 
425,0, , 
426,0, , 
427,0, , 
428,1,0.0000,0.0000
429,0, , 
430,1,0.0000,0.0000
431,1,0.0000,0.0000
432,1,0.0000,0.0000
433,0, , 
434,0, , 
435,0, , 
436,0, , 
437,0, , 
438,0, , 
439,0, , 
440,0, , 
441,0, , 
442,0, , 
443,0, , 
444,0, , 
445,1,0.0000,0.0000
446,1,0.0000,0.0000
447,0, , 
448,0, , 
449,0, , 
450,0, , 
451,2,5256.2500,72.5000
452,0, , 
453,0, , 
454,0, , 
455,0, , 
456,0, , 
457,0, , 
458,0, , 
459,0, , 
460,0, , 
461,0, , 
462,0, , 
463,0, , 
464,0, , 
465,0, , 
466,1,0.0000,0.0000
467,0, , 
468,0, , 
469,0, , 
470,0, , 
471,0, , 
472,0, , 
473,0, , 
474,0, , 
475,0, , 
476,1,0.0000,0.0000
477,0, , 
478,0, , 
479,1,0.0000,0.0000
480,0, , 
481,2,784.0000,28.0000
482,0, , 
483,0, , 
484,0, , 
485,0, , 
486,1,0.0000,0.0000
487,0, , 
488,0, , 
489,1,0.0000,0.0000
490,0, , 
491,0, , 
