Upara,Num_Pels,Variance,Deviation
0,691,0.0506,0.2250
1,112,2.5159,1.5861
2,132,2.6880,1.6395
3,112,3.9809,1.9952
4,174,4.7794,2.1862
5,224,5.5188,2.3492
6,390,6.4550,2.5407
7,579,4.4470,2.1088
8,812,4.8052,2.1921
9,994,4.8290,2.1975
10,1263,4.9179,2.2176
11,1448,5.6189,2.3704
12,1755,5.8632,2.4214
13,1884,7.0775,2.6604
14,2280,7.3445,2.7101
15,2605,7.9991,2.8283
16,3009,8.6261,2.9370
17,3284,8.9851,2.9975
18,3802,10.0392,3.1685
19,4202,10.3113,3.2111
20,4797,10.8187,3.2892
21,5066,11.0954,3.3310
22,5404,11.6289,3.4101
23,5597,12.0152,3.4663
24,5918,12.1395,3.4842
25,6357,13.0468,3.6120
26,6669,14.1862,3.7665
27,6567,13.6335,3.6924
28,6655,14.4514,3.8015
29,6554,14.2063,3.7691
30,6748,15.1993,3.8986
31,6505,15.0866,3.8842
32,6169,15.9262,3.9908
33,6423,17.1387,4.1399
34,6098,17.7720,4.2157
35,5774,18.5876,4.3113
36,5608,18.6015,4.3129
37,5463,19.2699,4.3897
38,5155,20.2977,4.5053
39,5005,22.0905,4.7001
40,4696,22.2343,4.7153
41,4584,21.5802,4.6455
42,4320,23.6951,4.8678
43,4142,23.8387,4.8825
44,3904,26.6626,5.1636
45,3812,25.7142,5.0709
46,3528,27.0070,5.1968
47,3306,27.4063,5.2351
48,3220,30.5003,5.5227
49,3072,32.8432,5.7309
50,3043,31.3364,5.5979
51,2767,32.5083,5.7016
52,2613,33.5745,5.7943
53,2531,34.0402,5.8344
54,2437,36.6727,6.0558
55,2291,42.5472,6.5228
56,2145,40.3995,6.3561
57,2117,38.1587,6.1773
58,2004,40.2493,6.3442
59,1873,42.5632,6.5240
60,1787,45.5112,6.7462
61,1663,43.1665,6.5701
62,1670,50.8205,7.1289
63,1544,48.5129,6.9651
64,1484,52.1683,7.2228
65,1428,56.6722,7.5281
66,1370,51.6079,7.1839
67,1309,53.0206,7.2815
68,1222,52.9792,7.2787
69,1238,57.3710,7.5744
70,1105,58.1163,7.6234
71,1100,57.6464,7.5925
72,1101,64.1247,8.0078
73,1113,59.1225,7.6891
74,955,70.5350,8.3985
75,980,66.3756,8.1471
76,933,68.5599,8.2801
