Upara,Num_Pels,Variance,Deviation
0,736,0.0583,0.2415
1,176,1.2778,1.1304
2,201,2.1583,1.4691
3,265,4.0085,2.0021
4,524,2.6756,1.6357
5,911,3.2884,1.8134
6,1422,2.4318,1.5594
7,1899,3.0910,1.7581
8,2580,3.3544,1.8315
9,3188,3.5335,1.8798
10,3853,4.2506,2.0617
11,4561,4.5037,2.1222
12,5367,5.1039,2.2592
13,6013,5.2408,2.2893
14,6799,5.6904,2.3854
15,7451,5.9398,2.4372
16,7828,6.3660,2.5231
17,8158,6.2934,2.5087
18,8420,6.7060,2.5896
19,8598,7.4517,2.7298
20,8610,7.5722,2.7518
21,8304,7.8058,2.7939
22,8113,8.7176,2.9526
23,7851,8.8536,2.9755
24,7459,9.4968,3.0817
25,7037,10.3676,3.2199
26,6765,10.8782,3.2982
27,6341,10.6527,3.2638
28,6049,11.7943,3.4343
29,5714,12.5996,3.5496
30,5366,13.4568,3.6684
31,5084,14.4080,3.7958
32,4858,15.1788,3.8960
33,4493,15.6185,3.9520
34,4219,16.4924,4.0611
35,3911,17.5382,4.1879
36,3787,19.7296,4.4418
37,3634,18.5412,4.3060
38,3273,20.7352,4.5536
39,3261,19.9447,4.4660
40,3027,20.2843,4.5038
41,2926,22.0944,4.7005
42,2693,23.3275,4.8299
43,2627,22.1672,4.7082
44,2405,24.4595,4.9457
45,2281,28.6716,5.3546
46,2137,26.9013,5.1867
47,2035,29.0317,5.3881
48,1884,30.1580,5.4916
49,1805,31.6787,5.6284
50,1743,33.3635,5.7761
51,1587,32.3326,5.6862
52,1598,31.5328,5.6154
53,1445,36.3658,6.0304
54,1510,39.7358,6.3036
55,1311,38.5111,6.2057
56,1279,41.1360,6.4137
57,1198,40.5605,6.3687
58,1161,41.3435,6.4299
59,1122,41.3556,6.4308
60,1125,44.5984,6.6782
61,1006,48.9150,6.9939
62,995,44.9214,6.7023
63,923,52.0478,7.2144
64,897,46.2414,6.8001
65,895,50.1328,7.0805
66,817,55.3996,7.4431
67,774,59.0838,7.6866
68,757,53.0111,7.2809
69,772,61.0628,7.8143
70,742,62.9581,7.9346
71,672,63.4475,7.9654
72,671,57.4924,7.5824
73,665,61.1317,7.8187
74,674,67.9131,8.2409
75,653,77.1120,8.7813
76,552,72.8245,8.5337
77,562,63.9299,7.9956
78,567,75.9176,8.7131
79,546,68.6986,8.2885
80,517,85.5303,9.2483
81,502,64.3648,8.0228
82,455,78.2306,8.8448
83,472,73.1617,8.5535
84,487,86.8482,9.3192
85,442,86.3740,9.2938
86,438,91.4243,9.5616
87,416,98.8940,9.9445
88,391,83.4393,9.1345
89,373,97.4354,9.8709
90,384,87.3697,9.3472
91,377,94.2294,9.7072
92,338,94.6228,9.7274
93,325,90.1925,9.4970
94,307,96.3107,9.8138
95,290,102.8297,10.1405
96,305,105.3359,10.2633
97,283,116.0444,10.7724
98,273,106.6431,10.3268
99,281,89.5151,9.4612
100,286,105.3408,10.2636
101,232,121.5184,11.0235
102,219,123.1964,11.0994
103,235,120.2916,10.9678
104,212,125.1684,11.1879
105,241,120.0648,10.9574
106,204,126.1352,11.2310
107,213,124.9126,11.1764
108,188,105.5496,10.2737
109,187,123.9701,11.1342
110,201,120.1943,10.9633
111,171,100.9147,10.0456
112,165,135.2594,11.6301
113,161,98.7333,9.9365
114,176,157.3750,12.5449
115,174,132.0299,11.4904
116,149,128.9796,11.3569
117,127,123.4233,11.1096
118,132,140.0018,11.8322
119,126,147.6854,12.1526
120,123,127.2966,11.2826
121,137,169.8100,13.0311
122,113,141.7167,11.9045
123,116,188.4673,13.7283
124,125,187.3935,13.6892
125,135,135.5881,11.6442
126,101,170.8729,13.0718
127,136,209.2602,14.4658
128,105,164.9466,12.8432
129,121,167.4985,12.9421
130,93,208.3492,14.4343
131,95,199.0899,14.1099
132,95,158.9972,12.6094
133,95,129.2204,11.3675
134,83,176.5745,13.2881
135,100,201.1051,14.1812
136,66,138.9164,11.7863
137,98,168.3575,12.9753
138,72,152.5556,12.3513
