Upara,Num_Pels,Variance,Deviation
0,0, , 
1,1,0.0000,0.0000
2,1,0.0000,0.0000
3,0, , 
4,0, , 
5,0, , 
6,1,0.0000,0.0000
7,0, , 
8,1,0.0000,0.0000
9,0, , 
10,2,9.0000,3.0000
11,0, , 
12,2,0.2500,0.5000
13,0, , 
14,1,0.0000,0.0000
15,2,2.2500,1.5000
16,0, , 
17,1,0.0000,0.0000
18,0, , 
19,2,64.0000,8.0000
20,0, , 
21,2,0.2500,0.5000
22,2,0.2500,0.5000
23,1,0.0000,0.0000
24,0, , 
25,2,0.2500,0.5000
26,3,56.0000,7.4833
27,3,44.2222,6.6500
28,3,59.5556,7.7172
29,1,0.0000,0.0000
30,4,54.1875,7.3612
31,4,131.6875,11.4755
32,4,132.1875,11.4973
33,10,94.4100,9.7165
34,9,73.3333,8.5635
35,5,109.0400,10.4422
36,6,60.4722,7.7764
37,9,29.5802,5.4388
38,15,59.7156,7.7276
39,13,53.4793,7.3130
40,21,86.7755,9.3153
41,24,98.8889,9.9443
42,34,104.1453,10.2052
43,31,78.7347,8.8733
44,37,119.0358,10.9104
45,46,93.5482,9.6720
46,46,82.7372,9.0960
47,56,81.3253,9.0181
48,77,95.4586,9.7703
49,70,75.0727,8.6644
50,91,83.1255,9.1173
51,108,83.3597,9.1302
52,131,89.4571,9.4582
53,139,75.3449,8.6801
54,152,85.0762,9.2237
55,185,102.7546,10.1368
56,186,77.3110,8.7927
57,271,89.6456,9.4681
58,245,74.1322,8.6100
59,304,87.6242,9.3608
60,319,90.7408,9.5258
61,368,82.4515,9.0803
62,406,84.2084,9.1765
63,390,83.7104,9.1493
64,471,85.3117,9.2364
65,551,92.2024,9.6022
66,557,84.0928,9.1702
67,540,80.9597,8.9978
68,611,81.4186,9.0232
69,696,85.3003,9.2358
70,706,84.3087,9.1820
71,783,92.7420,9.6303
72,836,82.0143,9.0562
73,907,106.7216,10.3306
74,899,84.0582,9.1683
75,946,83.2035,9.1216
76,984,86.3060,9.2901
77,1054,84.1970,9.1759
78,1062,86.5748,9.3046
79,1158,82.8379,9.1015
80,1113,88.9753,9.4327
81,1205,83.4266,9.1338
82,1225,84.7775,9.2075
83,1291,95.5281,9.7738
84,1339,88.6741,9.4167
85,1336,86.1615,9.2823
86,1350,88.7804,9.4223
87,1379,85.8120,9.2635
88,1400,85.8364,9.2648
89,1382,85.5655,9.2502
90,1344,86.4425,9.2974
91,1403,88.3483,9.3994
92,1397,83.2421,9.1237
93,1521,83.3319,9.1286
94,1460,95.6065,9.7779
95,1374,85.9618,9.2716
96,1418,82.6348,9.0904
97,1387,89.8772,9.4804
98,1312,85.0431,9.2219
99,1294,88.9341,9.4305
100,1253,82.8147,9.1003
101,1201,84.4626,9.1904
102,1249,85.1053,9.2253
103,1162,98.4214,9.9208
104,1120,86.9661,9.3256
105,1076,87.1270,9.3342
106,1052,83.8137,9.1550
107,1048,83.0915,9.1155
108,970,81.9754,9.0540
109,850,84.4956,9.1921
110,888,85.7432,9.2598
111,874,84.0862,9.1699
112,735,83.2943,9.1266
113,702,86.7970,9.3165
114,675,82.3373,9.0740
115,633,80.3152,8.9619
116,582,83.4700,9.1362
117,538,89.1545,9.4422
118,509,88.7045,9.4183
119,443,86.8814,9.3210
120,442,86.6420,9.3082
121,396,86.4521,9.2980
122,341,88.4301,9.4037
123,316,80.6541,8.9808
124,314,91.6561,9.5737
125,298,82.3197,9.0730
126,212,80.5676,8.9759
127,217,77.6569,8.8123
128,197,86.7105,9.3118
129,173,80.8699,8.9928
130,167,93.3291,9.6607
131,143,77.3317,8.7938
132,136,87.4952,9.3539
133,107,92.5988,9.6228
134,98,88.8722,9.4272
135,85,83.7412,9.1510
136,66,78.8154,8.8778
137,64,87.5312,9.3558
138,51,72.4637,8.5126
139,53,83.1307,9.1176
140,36,85.2492,9.2331
141,37,86.0833,9.2781
142,28,89.0867,9.4386
143,32,89.3711,9.4536
144,31,83.3528,9.1298
145,21,108.8844,10.4348
146,18,80.8673,8.9926
147,4,39.6875,6.2998
148,15,83.3156,9.1277
149,15,72.8622,8.5359
150,9,100.3210,10.0160
151,4,103.1875,10.1581
152,6,106.1389,10.3024
153,14,120.3878,10.9721
154,7,115.1429,10.7305
155,7,55.6327,7.4587
156,5,121.3600,11.0164
157,6,68.4722,8.2748
158,2,2.2500,1.5000
159,3,40.6667,6.3770
160,4,24.7500,4.9749
161,4,44.5000,6.6708
162,2,9.0000,3.0000
163,2,90.2500,9.5000
164,3,44.6667,6.6833
165,8,83.4844,9.1370
166,2,20.2500,4.5000
167,5,21.6000,4.6476
168,1,0.0000,0.0000
169,5,35.6000,5.9666
170,1,0.0000,0.0000
171,2,6.2500,2.5000
172,0, , 
173,3,116.6667,10.8012
174,4,44.1875,6.6474
175,2,110.2500,10.5000
176,0, , 
177,2,169.0000,13.0000
178,5,73.6000,8.5790
179,2,132.2500,11.5000
180,1,0.0000,0.0000
181,4,35.6875,5.9739
182,1,0.0000,0.0000
183,2,36.0000,6.0000
184,3,38.2222,6.1824
185,1,0.0000,0.0000
186,3,24.0000,4.8990
187,0, , 
188,1,0.0000,0.0000
189,1,0.0000,0.0000
190,0, , 
191,2,2.2500,1.5000
192,3,14.8889,3.8586
193,2,100.0000,10.0000
194,2,20.2500,4.5000
195,0, , 
196,0, , 
197,1,0.0000,0.0000
198,0, , 
199,0, , 
200,1,0.0000,0.0000
201,1,0.0000,0.0000
202,0, , 
203,0, , 
204,1,0.0000,0.0000
205,0, , 
206,0, , 
207,0, , 
208,0, , 
209,0, , 
210,1,0.0000,0.0000
211,0, , 
212,0, , 
213,1,0.0000,0.0000
214,1,0.0000,0.0000
215,1,0.0000,0.0000
216,1,0.0000,0.0000
217,0, , 
218,0, , 
219,0, , 
220,0, , 
221,0, , 
222,0, , 
223,0, , 
224,0, , 
225,0, , 
226,0, , 
227,1,0.0000,0.0000
228,0, , 
229,0, , 
230,0, , 
231,0, , 
232,0, , 
233,0, , 
234,0, , 
235,0, , 
236,0, , 
237,1,0.0000,0.0000
238,0, , 
239,1,0.0000,0.0000
240,1,0.0000,0.0000
241,0, , 
242,0, , 
243,0, , 
244,1,0.0000,0.0000
245,0, , 
246,1,0.0000,0.0000
247,0, , 
248,3,34.8889,5.9067
249,1,0.0000,0.0000
250,0, , 
251,0, , 
252,0, , 
253,2,324.0000,18.0000
254,0, , 
255,0, , 
256,1,0.0000,0.0000
257,0, , 
258,0, , 
259,0, , 
260,0, , 
261,2,1.0000,1.0000
262,1,0.0000,0.0000
263,0, , 
264,1,0.0000,0.0000
265,0, , 
266,0, , 
267,0, , 
268,3,61.5556,7.8457
269,1,0.0000,0.0000
270,0, , 
271,2,81.0000,9.0000
