Upara,Num_Pels,Variance,Deviation
0,29,1.5933,1.2623
1,25,3.2736,1.8093
2,24,2.9722,1.7240
3,46,6.0643,2.4626
4,96,5.4999,2.3452
5,224,4.2991,2.0734
6,416,3.7015,1.9239
7,699,5.4227,2.3287
8,1044,4.2038,2.0503
9,1406,3.9587,1.9896
10,1972,4.8245,2.1965
11,2559,4.5698,2.1377
12,2951,5.0618,2.2498
13,3397,6.3980,2.5294
14,3875,6.0890,2.4676
15,4368,6.7378,2.5957
16,4698,6.9698,2.6400
17,5110,7.8245,2.7972
18,5504,8.3771,2.8943
19,5652,8.5088,2.9170
20,5922,10.2551,3.2024
21,6115,9.8362,3.1363
22,6272,10.7638,3.2808
23,6355,11.6946,3.4197
24,6636,11.3059,3.3624
25,6777,12.2222,3.4960
26,6745,12.8208,3.5806
27,6526,12.9796,3.6027
28,6609,12.9399,3.5972
29,6455,14.0749,3.7517
30,6456,15.0995,3.8858
31,6311,15.8418,3.9802
32,6170,15.9598,3.9950
33,5872,17.1719,4.1439
34,5775,16.9595,4.1182
35,5532,18.9409,4.3521
36,5332,20.2705,4.5023
37,5036,21.3840,4.6243
38,4794,20.2387,4.4987
39,4639,22.0253,4.6931
40,4491,22.0318,4.6938
41,4312,23.4309,4.8405
42,3998,25.1983,5.0198
43,3818,24.2558,4.9250
44,3648,25.9769,5.0968
45,3323,27.6428,5.2576
46,3311,28.9142,5.3772
47,3209,29.8498,5.4635
48,3081,29.4314,5.4251
49,2914,31.4400,5.6071
50,2850,31.6240,5.6235
51,2611,33.2678,5.7678
52,2484,32.6668,5.7155
53,2371,33.8645,5.8193
54,2259,37.5556,6.1283
55,2021,37.2491,6.1032
56,1898,39.1013,6.2531
57,1926,36.1869,6.0156
58,1782,37.7181,6.1415
59,1726,41.2915,6.4258
60,1645,38.4614,6.2017
61,1494,42.8752,6.5479
62,1467,44.1882,6.6474
63,1391,54.0681,7.3531
64,1323,47.7865,6.9128
65,1226,46.7081,6.8343
66,1154,54.5679,7.3870
67,1089,47.1536,6.8668
68,1071,52.3963,7.2385
69,1031,54.5598,7.3865
70,893,59.4238,7.7087
71,906,65.4892,8.0925
72,861,54.9213,7.4109
73,851,60.4190,7.7730
74,790,57.6542,7.5930
75,763,66.2695,8.1406
76,675,60.0966,7.7522
77,705,62.0236,7.8755
78,631,65.5635,8.0971
79,618,76.0528,8.7208
80,607,70.2234,8.3799
81,546,74.8720,8.6529
82,523,73.7663,8.5887
83,517,92.1424,9.5991
84,479,79.5857,8.9211
85,489,78.1866,8.8423
86,464,80.7143,8.9841
87,435,92.9110,9.6390
88,438,85.0720,9.2234
89,394,91.3055,9.5554
90,430,99.2443,9.9621
91,385,89.6115,9.4663
92,349,82.2970,9.0718
93,348,97.5558,9.8770
94,338,139.0175,11.7906
95,313,98.1484,9.9070
96,330,94.1761,9.7044
97,305,135.0792,11.6224
98,266,123.5794,11.1166
99,293,109.2502,10.4523
100,282,115.9171,10.7665
101,264,112.5291,10.6080
102,247,154.4866,12.4293
103,255,137.7552,11.7369
104,233,119.3454,10.9245
105,248,101.6123,10.0803
106,215,154.7104,12.4383
107,209,153.0833,12.3727
108,251,132.6181,11.5160
109,198,182.3013,13.5019
110,225,118.2512,10.8743
111,185,121.6095,11.0277
112,175,180.9763,13.4527
113,191,107.0932,10.3486
114,186,149.2048,12.2149
115,165,153.4156,12.3861
116,170,146.3682,12.0983
117,142,109.8213,10.4796
118,178,146.1025,12.0873
119,159,148.9339,12.2038
120,150,140.6413,11.8592
121,118,200.8101,14.1707
122,155,138.5850,11.7722
123,142,233.1591,15.2695
124,142,157.2309,12.5392
125,136,213.5621,14.6138
126,124,198.8519,14.1015
127,137,194.6067,13.9502
128,124,169.7544,13.0290
129,116,170.7194,13.0660
130,115,225.2817,15.0094
131,120,167.6027,12.9461
132,110,219.6834,14.8217
133,129,155.8756,12.4850
134,104,214.9434,14.6609
135,106,210.9050,14.5226
136,104,219.3054,14.8090
137,91,179.1424,13.3844
138,100,153.2356,12.3788
139,81,171.6629,13.1020
140,98,197.5640,14.0557
141,97,187.2169,13.6827
142,95,175.9497,13.2646
143,80,223.2111,14.9403
144,78,168.5832,12.9840
145,69,170.1277,13.0433
146,99,190.2861,13.7944
147,69,251.2174,15.8498
148,81,271.8156,16.4868
149,80,151.4525,12.3066
150,61,292.9449,17.1156
151,70,247.6182,15.7359
152,77,146.5947,12.1076
153,77,245.5561,15.6702
154,58,297.2857,17.2420
155,65,285.9067,16.9088
156,56,373.2242,19.3190
157,75,226.3086,15.0436
158,57,414.7522,20.3655
159,43,281.8085,16.7872
160,44,289.5041,17.0148
161,55,250.5336,15.8283
162,62,396.7055,19.9175
163,54,180.6653,13.4412
164,41,179.0363,13.3804
165,56,272.7755,16.5159
166,40,378.6000,19.4576
167,49,267.9617,16.3695
168,42,238.0232,15.4280
169,50,330.0096,18.1662
170,40,216.6875,14.7203
171,43,255.2623,15.9769
172,43,400.9529,20.0238
173,39,164.5207,12.8266
174,44,261.2082,16.1619
175,32,234.9844,15.3292
176,31,267.9480,16.3691
177,42,280.0748,16.7354
178,35,229.5869,15.1521
179,32,254.5000,15.9531
180,40,276.6000,16.6313
181,31,263.4318,16.2306
182,26,311.9053,17.6608
183,32,476.1865,21.8217
184,28,242.9184,15.5858
185,33,221.1074,14.8697
186,29,797.8573,28.2464
