Upara,Num_Pels,Variance,Deviation
0,168440,7.1775,2.6791
1,26255,4.3197,2.0784
2,12290,13.8263,3.7184
3,5595,22.9768,4.7934
4,3070,26.0614,5.1050
5,1920,36.0189,6.0016
6,1701,21.5723,4.6446
7,1548,59.9770,7.7445
8,886,35.0050,5.9165
9,837,31.8530,5.6439
10,1253,26.4196,5.1400
11,1072,33.4709,5.7854
12,651,21.3984,4.6258
13,636,56.0377,7.4858
14,676,75.3712,8.6817
15,874,58.7584,7.6654
16,686,46.8467,6.8445
17,805,11.6854,3.4184
18,680,54.2472,7.3653
19,768,67.2279,8.1993
20,521,38.6794,6.2193
21,582,58.6261,7.6568
22,554,58.7550,7.6652
23,628,67.6258,8.2235
24,406,80.9095,8.9950
25,389,88.8921,9.4283
26,344,20.3468,4.5107
27,461,78.6288,8.8673
28,529,66.9511,8.1824
29,951,63.7832,7.9864
30,620,99.7982,9.9899
31,483,130.1864,11.4099
32,428,84.7174,9.2042
33,514,83.1151,9.1167
34,439,106.9642,10.3424
35,271,65.6992,8.1055
36,314,64.1673,8.0104
37,357,104.5106,10.2230
38,356,127.6359,11.2976
39,471,307.8367,17.5453
40,417,161.6436,12.7139
41,288,117.3518,10.8329
42,323,160.1129,12.6536
43,370,109.5160,10.4650
44,405,80.5704,8.9761
45,562,82.9891,9.1098
46,411,162.3115,12.7402
47,311,277.4107,16.6556
48,343,158.9016,12.6056
49,318,93.2293,9.6555
50,277,174.0509,13.1928
51,306,227.5200,15.0838
52,229,124.6813,11.1661
53,246,118.3662,10.8796
54,234,201.0582,14.1795
55,234,178.2500,13.3510
56,217,245.5323,15.6695
57,229,114.6580,10.7078
58,242,119.4979,10.9315
59,214,206.3207,14.3639
60,288,307.2560,17.5287
61,334,122.6359,11.0741
62,254,191.0109,13.8207
63,212,142.2122,11.9253
64,210,308.7952,17.5726
65,219,237.4419,15.4092
66,169,149.5110,12.2275
67,174,111.8960,10.5781
68,202,234.3578,15.3087
69,163,153.6236,12.3945
70,163,212.3565,14.5725
71,163,168.2011,12.9692
72,175,356.2367,18.8742
73,183,389.9433,19.7470
74,197,208.5116,14.4399
75,168,196.8920,14.0318
76,196,167.7660,12.9525
77,172,307.6271,17.5393
78,168,87.5873,9.3588
79,213,257.1003,16.0343
80,151,201.6965,14.2020
81,135,190.0425,13.7856
82,168,223.7528,14.9584
83,111,537.8760,23.1922
84,140,266.4842,16.3243
85,161,298.9937,17.2914
86,133,228.4588,15.1149
87,146,287.0787,16.9434
88,143,208.6937,14.4462
89,173,156.6582,12.5163
90,196,155.6786,12.4771
91,122,213.8754,14.6245
92,122,153.9186,12.4064
93,132,264.2346,16.2553
94,100,721.5971,26.8626
95,104,155.9614,12.4885
96,128,209.5283,14.4751
97,121,276.7009,16.6343
98,113,300.1204,17.3240
99,126,271.0026,16.4622
100,129,485.8256,22.0415
101,120,360.6327,18.9903
